MKey,NTSBNumber,Report,EventDate,City,StateOrRegion,Country,Latitude,Longitude,FatalInjuries,SeriousInjuries,InjuryLevel,InjuryCategory,IsFatal
82708,ERA12FA149,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/82708/pdf,1/20/2012,Rainbow City,Alabama,United States,33.95222,-86.101387,1,0,Fatal,fatal,True
82713,ERA12LA150,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/82713/pdf,1/19/2012,Bayou La Batre,Alabama,United States,30.454999,-88.211112,0,0,Non-Fatal,non-fatal,False
82924,ERA12CA185,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/82924/pdf,2/13/2012,Eufaula,Alabama,United States,31.951665,-85.117774,0,0,Non-Fatal,non-fatal,False
82972,ERA12FA194,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/82972/pdf,2/26/2012,Laceys Spring,Alabama,United States,34.570278,-86.594444,2,0,Fatal,fatal,True
83005,ERA12CA199,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83005/pdf,3/1/2012,Eufaula,Alabama,United States,31.95111,-85.127777,0,0,Non-Fatal,non-fatal,False
83209,ERA12LA253,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83209/pdf,3/24/2012,Margaret,Alabama,United States,33.670276,-86.486389,0,1,Non-Fatal,non-fatal,False
83332,ERA12LA273,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83332/pdf,3/24/2012,Dothan,Alabama,United States,31.321111,-85.449447,0,0,Non-Fatal,non-fatal,False
83496,ERA12LA305,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83496/pdf,4/27/2012,Sylacauga,Alabama,United States,33.159442,-86.449722,0,1,Non-Fatal,non-fatal,False
83670,ERA12CA339,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83670/pdf,5/16/2012,Gulf Shores,Alabama,United States,30.69,-87.858329,0,0,Non-Fatal,non-fatal,False
83855,ERA12CA381,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83855/pdf,5/26/2012,Foley,Alabama,United States,30.427778,-87.701667,0,0,Non-Fatal,non-fatal,False
83935,ERA12CA390,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83935/pdf,6/9/2012,Alabaster,Alabama,United States,33.177776,-86.783058,0,0,Non-Fatal,non-fatal,False
83982,ERA12CA396,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83982/pdf,6/14/2012,Gulf Shores,Alabama,United States,30.289443,-87.671669,0,0,Non-Fatal,non-fatal,False
84259,ERA12CA437,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/84259/pdf,6/22/2012,Meridianville,Alabama,United States,34.861389,-86.557502,0,0,Non-Fatal,non-fatal,False
84275,ERA12LA441,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/84275/pdf,7/6/2012,Auburn,Alabama,United States,32.615276,-85.433891,0,0,Non-Fatal,non-fatal,False
84659,ERA12LA505,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/84659/pdf,8/12/2012,Bay Minette,Alabama,United States,30.870277,-87.819168,0,0,Non-Fatal,non-fatal,False
85045,ERA12LA562,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/85045/pdf,9/15/2012,Cedar Bluff,Alabama,United States,34.210277,-85.547775,1,0,Fatal,fatal,True
85048,ERA12FA565,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/85048/pdf,9/16/2012,Brownsboro,Alabama,United States,34.743888,-86.45861,2,0,Fatal,fatal,True
85057,ERA12FA566,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/85057/pdf,9/17/2012,Crane Hill,Alabama,United States,33.976387,-87.117225,2,0,Fatal,fatal,True
85154,ERA12CA580,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/85154/pdf,9/24/2012,Theodore,Alabama,United States,30.43361,-88.176391,0,0,Non-Fatal,non-fatal,False
85272,ERA13LA012,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/85272/pdf,10/6/2012,Birmingham,Alabama,United States,33.563888,-86.75222,0,1,Non-Fatal,non-fatal,False
85331,ERA12LA589,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/85331/pdf,9/29/2012,Selma,Alabama,United States,32.283332,-86.949996,0,0,Non-Fatal,non-fatal,False
85356,ERA13CA028,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/85356/pdf,10/11/2012,Mobile,Alabama,United States,30.6375,-88.073608,0,0,Non-Fatal,non-fatal,False
