MKey,NTSBNumber,Report,EventDate,City,StateOrRegion,Country,Latitude,Longitude,FatalInjuries,SeriousInjuries,InjuryLevel,InjuryCategory,IsFatal
82789,CEN12LA146,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/82789/pdf,1/31/2012,Sheridan,Arkansas,United States,34.32389,-92.349998,0,1,Non-Fatal,non-fatal,False
83224,CEN12CA205,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83224/pdf,3/25/2012,Viola,Arkansas,United States,36.368888,-92.470558,0,0,Non-Fatal,non-fatal,False
83295,CEN12CA225,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83295/pdf,3/21/2012,Malvern,Arkansas,United States,34.333057,-92.76139,0,0,Non-Fatal,non-fatal,False
83487,CEN12LA259,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83487/pdf,4/21/2012,Stuttgart,Arkansas,United States,34.593055,-91.571662,0,0,Non-Fatal,non-fatal,False
83687,CEN12LA306,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83687/pdf,5/15/2012,Marion,Arkansas,United States,35.275001,-90.5,0,0,Non-Fatal,non-fatal,False
83717,CEN12LA310,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83717/pdf,5/19/2012,Humnoke,Arkansas,United States,34.506111,-91.753334,0,0,Non-Fatal,non-fatal,False
83732,CEN12FA312,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83732/pdf,5/23/2012,Sedgwick,Arkansas,United States,35.973609,-90.776664,1,1,Fatal,fatal,True
83781,CEN12LA323,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83781/pdf,5/25/2012,Alicia,Arkansas,United States,36.125278,-90.924446,0,0,Non-Fatal,non-fatal,False
83785,CEN12LA326,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83785/pdf,5/25/2012,Ozark,Arkansas,United States,35.510833,-93.839447,0,0,Non-Fatal,non-fatal,False
83800,CEN12LA331,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83800/pdf,5/29/2012,Stuttgart,Arkansas,United States,34.599445,-91.574996,0,0,Non-Fatal,non-fatal,False
83912,CEN12LA352,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83912/pdf,6/7/2012,Higginson,Arkansas,United States,35.210556,-91.737503,0,0,Non-Fatal,non-fatal,False
84017,CEN12LA379,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/84017/pdf,6/17/2012,Lakeview,Arkansas,United States,36.349166,-92.555831,0,0,Non-Fatal,non-fatal,False
84050,CEN12LA386,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/84050/pdf,6/21/2012,Walnut Ridge,Arkansas,United States,36.124721,-90.925003,0,0,Non-Fatal,non-fatal,False
84225,CEN12CA422,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/84225/pdf,7/4/2012,Greers Ferry,Arkansas,United States,35.602222,-92.142501,0,0,Non-Fatal,non-fatal,False
84342,CEN12CA447,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/84342/pdf,7/15/2012,Lakeview,Arkansas,United States,36.348888,-92.555557,0,0,Non-Fatal,non-fatal,False
84400,CEN12FA463,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/84400/pdf,7/21/2012,Marked Tree,Arkansas,United States,35.533054,-90.400276,0,0,Non-Fatal,non-fatal,False
84445,CEN12LA476,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/84445/pdf,7/25/2012,Conway,Arkansas,United States,35.081111,-92.424446,0,0,Non-Fatal,non-fatal,False
84475,CEN12CA486,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/84475/pdf,7/25/2012,Heber Springs,Arkansas,United States,35.511665,-92.012779,0,0,Non-Fatal,non-fatal,False
84518,CEN12LA495,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/84518/pdf,7/29/2012,Lakeview,Arkansas,United States,36.369384,-92.530258,0,0,Non-Fatal,non-fatal,False
85393,CEN13CA021,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/85393/pdf,10/20/2012,Lonoke,Arkansas,United States,34.813888,-92.0,0,0,Non-Fatal,non-fatal,False
85534,CEN13LA054,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/85534/pdf,11/7/2012,Conway,Arkansas,United States,35.081111,-92.424446,1,0,Fatal,fatal,True
85715,CEN13CA084,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/85715/pdf,12/1/2012,Melbourne,Arkansas,United States,36.071666,-91.839447,0,0,Non-Fatal,non-fatal,False
85776,CEN13LA095,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/85776/pdf,12/5/2012,Gurdon,Arkansas,United States,33.923889,-93.168052,0,0,Non-Fatal,non-fatal,False
86264,CEN13LA168,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/86264/pdf,2/7/2013,Forrest City,Arkansas,United States,34.946388,-90.774444,0,0,Non-Fatal,non-fatal,False
86424,CEN13LA191,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/86424/pdf,3/8/2013,Beech Grove,Arkansas,United States,36.085277,-90.741943,0,0,Non-Fatal,non-fatal,False
86447,CEN13LA198,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/86447/pdf,3/10/2013,Rogers,Arkansas,United States,36.372222,-94.106941,0,0,Non-Fatal,non-fatal,False
86661,CEN13LA229,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/86661/pdf,4/15/2013,Warren,Arkansas,United States,33.560554,-92.085281,0,0,Non-Fatal,non-fatal,False
86701,CEN13LA237,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/86701/pdf,4/22/2013,Greenbrier,Arkansas,United States,35.177501,-92.334999,1,0,Fatal,fatal,True
87158,CEN13LA342,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/87158/pdf,6/10/2013,Morrilton,Arkansas,United States,35.136112,-92.713607,0,0,Non-Fatal,non-fatal,False
