MKey,NTSBNumber,Report,EventDate,City,StateOrRegion,Country,Latitude,Longitude,FatalInjuries,SeriousInjuries,InjuryLevel,InjuryCategory,IsFatal
82648,CEN12LA126,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/82648/pdf,1/6/2012,Somerset,Colorado,United States,38.935001,-107.467781,0,0,Non-Fatal,non-fatal,False
82672,CEN12CA132,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/82672/pdf,1/2/2012,Del Norte,Colorado,United States,37.702499,-106.351669,0,0,Non-Fatal,non-fatal,False
82842,CEN12FA151,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/82842/pdf,2/2/2012,Pueblo,Colorado,United States,38.286666,-104.491111,0,0,Non-Fatal,non-fatal,False
82898,CEN12CA157,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/82898/pdf,2/4/2012,Colorado Springs,Colorado,United States,38.803333,-104.700279,0,0,Non-Fatal,non-fatal,False
82919,CEN12CA160,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/82919/pdf,2/18/2012,South Fork,Colorado,United States,37.740276,-106.525558,0,0,Non-Fatal,non-fatal,False
82920,CEN12FA161,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/82920/pdf,2/19/2012,Hayden,Colorado,United States,40.48389,-107.228614,2,4,Fatal,fatal,True
82983,CEN12LA171,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/82983/pdf,2/27/2012,Denver,Colorado,United States,39.785278,-104.543052,0,0,Non-Fatal,non-fatal,False
83080,CEN12CA183,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83080/pdf,3/8/2012,Fort Collins,Colorado,United States,40.54111,-104.985,0,0,Non-Fatal,non-fatal,False
83208,CEN12FA199,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83208/pdf,3/23/2012,Longmont,Colorado,United States,40.15361,-105.055274,2,0,Fatal,fatal,True
83216,CEN12CA200,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83216/pdf,3/24/2012,Colorado Springs,Colorado,United States,38.968334,-104.807777,0,0,Non-Fatal,non-fatal,False
83225,CEN12CA206,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83225/pdf,3/24/2012,Calhan,Colorado,United States,39.048053,-104.293052,0,1,Non-Fatal,non-fatal,False
83334,CEN12LA234,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83334/pdf,4/4/2012,Telluride,Colorado,United States,37.953887,-107.908889,0,0,Non-Fatal,non-fatal,False
83450,CEN12LA252,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83450/pdf,4/21/2012,Englewood,Colorado,United States,39.569999,-104.849166,0,0,Non-Fatal,non-fatal,False
83520,CEN12CA263,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83520/pdf,5/1/2012,Durango,Colorado,United States,37.203056,-107.869163,0,0,Non-Fatal,non-fatal,False
83522,CEN12CA264,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83522/pdf,3/15/2012,Cheyenne Wells,Colorado,United States,38.733055,-102.118057,0,0,Non-Fatal,non-fatal,False
