MKey,NTSBNumber,Report,EventDate,City,StateOrRegion,Country,Latitude,Longitude,FatalInjuries,SeriousInjuries,InjuryLevel,InjuryCategory,IsFatal
82595,ERA12LA131,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/82595/pdf,1/1/2012,Willimantic,Connecticut,United States,41.741664,-72.18972,0,0,Non-Fatal,non-fatal,False
83388,ERA12LA282,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83388/pdf,4/14/2012,Farmington,Connecticut,United States,41.720001,-72.855552,0,2,Non-Fatal,non-fatal,False
84258,ERA12CA436,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/84258/pdf,7/10/2012,Chester,Connecticut,United States,41.383888,-72.505836,0,0,Non-Fatal,non-fatal,False
84469,ERA12FA483,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/84469/pdf,7/26/2012,Plainville,Connecticut,United States,41.694442,-72.864166,1,0,Fatal,fatal,True
85629,ERA13FA064,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/85629/pdf,11/19/2012,Canton,Connecticut,United States,41.855556,-72.878051,2,0,Fatal,fatal,True
86040,ERA13LA116,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/86040/pdf,1/17/2013,Ellington,Connecticut,United States,41.917778,-72.45111,0,0,Non-Fatal,non-fatal,False
86065,ERA13LA117,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/86065/pdf,1/22/2013,Danbury,Connecticut,United States,41.388053,-73.429725,0,0,Non-Fatal,non-fatal,False
86845,ERA13CA233,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/86845/pdf,5/7/2013,Meriden,Connecticut,United States,41.508609,-72.829444,0,0,Non-Fatal,non-fatal,False
87131,ERA13LA276,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/87131/pdf,6/9/2013,Plainville,Connecticut,United States,41.686943,-72.858612,0,0,Non-Fatal,non-fatal,False
87622,ERA13LA343,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/87622/pdf,7/27/2013,Willimantic,Connecticut,United States,41.739723,-72.173889,0,0,Non-Fatal,non-fatal,False
