MKey,NTSBNumber,Report,EventDate,City,StateOrRegion,Country,Latitude,Longitude,FatalInjuries,SeriousInjuries,InjuryLevel,InjuryCategory,IsFatal
82603,ERA12CA134,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/82603/pdf,1/2/2012,River Ranch,Florida,United States,27.900831,-81.580116,0,0,Non-Fatal,non-fatal,False
82632,ERA12CA137,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/82632/pdf,1/6/2012,St Petersburg,Florida,United States,27.750833,-82.622779,0,0,Non-Fatal,non-fatal,False
82635,ERA12CA140,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/82635/pdf,1/7/2012,Umatilla,Florida,United States,28.921112,-81.651107,0,0,Non-Fatal,non-fatal,False
82714,ERA12FA151,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/82714/pdf,1/22/2012,Quincy,Florida,United States,30.603889,-84.546943,1,0,Fatal,fatal,True
82746,ERA12LA157,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/82746/pdf,1/25/2012,Port Orange,Florida,United States,29.074722,-81.041389,0,0,Non-Fatal,non-fatal,False
82755,ERA12FA161,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/82755/pdf,1/27/2012,Ocala,Florida,United States,29.149166,-82.22528,1,1,Fatal,fatal,True
82762,ERA12LA164,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/82762/pdf,1/28/2012,Clearwater,Florida,United States,27.908611,-82.719444,0,0,Non-Fatal,non-fatal,False
82776,ERA12LA165,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/82776/pdf,1/28/2012,Palm Beach,Florida,United States,26.770555,-80.035278,0,0,Non-Fatal,non-fatal,False
82784,ERA12CA167,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/82784/pdf,1/29/2012,Sarasota,Florida,United States,27.390556,-82.55278,0,0,Non-Fatal,non-fatal,False
82826,ERA12LA171,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/82826/pdf,2/6/2012,Minneola,Florida,United States,28.6275,-81.80278,0,1,Non-Fatal,non-fatal,False
82839,ERA12CA173,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/82839/pdf,2/7/2012,Winter Haven,Florida,United States,28.062778,-81.753334,0,0,Non-Fatal,non-fatal,False
82885,ERA12CA178,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/82885/pdf,2/10/2012,Miami,Florida,United States,25.647777,-80.432777,0,0,Non-Fatal,non-fatal,False
82967,ERA12FA193,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/82967/pdf,2/23/2012,Key West,Florida,United States,24.602222,-81.750556,2,0,Fatal,fatal,True
82994,ERA12FA196,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/82994/pdf,2/29/2012,Melbourne,Florida,United States,28.092777,-80.659721,3,0,Fatal,fatal,True
83000,ERA12CA198,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83000/pdf,3/1/2012,Boca Raton,Florida,United States,26.378334,-80.107498,0,0,Non-Fatal,non-fatal,False
83049,ERA12LA210,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83049/pdf,3/6/2012,Titusville,Florida,United States,28.458333,-80.86222,0,0,Non-Fatal,non-fatal,False
83084,ERA12LA219,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83084/pdf,3/9/2012,Homestead,Florida,United States,25.329999,-80.377777,0,0,Non-Fatal,non-fatal,False
83142,ERA12LA227,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83142/pdf,3/15/2012,Niceville,Florida,United States,30.537221,-86.436111,2,0,Fatal,fatal,True
83148,ERA12LA229,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83148/pdf,3/16/2012,Venice,Florida,United States,27.071388,-82.440277,0,0,Non-Fatal,non-fatal,False
83166,ERA12LA234,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83166/pdf,3/16/2012,Pensacola,Florida,United States,30.419721,-87.193054,0,0,Non-Fatal,non-fatal,False
83170,ERA12CA236,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83170/pdf,3/12/2012,New Smyrna,Florida,United States,28.97861,-80.925003,0,0,Non-Fatal,non-fatal,False
83184,ERA12CA242,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83184/pdf,3/18/2012,New Smyrna,Florida,United States,28.978889,-80.925003,0,0,Non-Fatal,non-fatal,False
83193,ERA12CA244,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83193/pdf,3/18/2012,Clearwater,Florida,United States,27.976667,-82.758613,0,0,Non-Fatal,non-fatal,False
83195,ERA12CA245,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83195/pdf,3/20/2012,Clearwater,Florida,United States,27.976667,-82.758613,0,0,Non-Fatal,non-fatal,False
83204,ERA12LA250,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83204/pdf,3/23/2012,Wellington,Florida,United States,26.465555,-80.149719,0,1,Non-Fatal,non-fatal,False
83206,ERA12TA251,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83206/pdf,3/23/2012,Delray Beach,Florida,United States,26.455278,-80.196113,0,0,Non-Fatal,non-fatal,False
83207,ERA12LA252,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83207/pdf,3/24/2012,Deland,Florida,United States,29.066944,-81.283889,0,0,Non-Fatal,non-fatal,False
83212,ERA12CA254,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83212/pdf,3/25/2012,Groveland,Florida,United States,28.03861,-81.753608,0,0,Non-Fatal,non-fatal,False
83258,ERA12LA259,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83258/pdf,3/24/2012,Brooksville,Florida,United States,28.473611,-82.455558,0,0,Non-Fatal,non-fatal,False
83260,ERA12LA261,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83260/pdf,3/31/2012,Lake Wales,Florida,United States,27.952222,-81.60083,0,0,Non-Fatal,non-fatal,False
83272,ERA12LA264,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83272/pdf,4/1/2012,Plant City,Florida,United States,28.135555,-82.141113,0,1,Non-Fatal,non-fatal,False
