MKey,NTSBNumber,Report,EventDate,City,StateOrRegion,Country,Latitude,Longitude,FatalInjuries,SeriousInjuries,InjuryLevel,InjuryCategory,IsFatal
82646,ERA12LA141,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/82646/pdf,1/8/2012,Jefferson,Georgia,United States,34.172222,-83.556945,1,0,Fatal,fatal,True
82925,ERA12LA186,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/82925/pdf,2/17/2012,Jasper,Georgia,United States,34.453334,-84.457221,0,2,Non-Fatal,non-fatal,False
82946,ERA12CA190,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/82946/pdf,2/17/2012,Swainsboro,Georgia,United States,32.609165,-82.370002,0,0,Non-Fatal,non-fatal,False
82981,ERA12LA195,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/82981/pdf,2/25/2012,Americus,Georgia,United States,32.110553,-84.188888,0,0,Non-Fatal,non-fatal,False
83083,ERA12CA218,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83083/pdf,3/7/2012,Atlanta,Georgia,United States,33.875831,-84.30194,0,0,Non-Fatal,non-fatal,False
83161,ERA12LA231,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83161/pdf,3/16/2012,Fitzgerald,Georgia,United States,31.718889,-83.075836,1,0,Fatal,fatal,True
83169,ERA12CA235,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83169/pdf,3/17/2012,Douglas,Georgia,United States,31.476667,-82.860557,0,0,Non-Fatal,non-fatal,False
83389,ERA12CA283,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83389/pdf,4/14/2012,Cedartown,Georgia,United States,34.018611,-85.146385,0,0,Non-Fatal,non-fatal,False
83535,ERA12LA315,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83535/pdf,5/2/2012,Columbus,Georgia,United States,32.516387,-84.938888,0,0,Non-Fatal,non-fatal,False
83763,ERA12LA364,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83763/pdf,5/26/2012,Trenton,Georgia,United States,34.904724,-85.459724,1,0,Fatal,fatal,True
83777,ERA12CA369,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83777/pdf,5/27/2012,Gainesville,Georgia,United States,34.272777,-83.830276,0,0,Non-Fatal,non-fatal,False
83860,ERA12CA382,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83860/pdf,5/12/2012,Savannah,Georgia,United States,32.123054,-81.334442,0,0,Non-Fatal,non-fatal,False
83902,ERA12LA386,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83902/pdf,6/8/2012,Wrens,Georgia,United States,33.226387,-82.392776,1,0,Fatal,fatal,True
83959,ERA12LA394,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83959/pdf,6/13/2012,Ocilla,Georgia,United States,31.5725,-83.442497,0,0,Non-Fatal,non-fatal,False
84013,ERA12LA401,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/84013/pdf,6/18/2012,Atlanta,Georgia,United States,32.873611,-84.303054,0,2,Non-Fatal,non-fatal,False
84132,ERA12FA423,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/84132/pdf,6/30/2012,Dalton,Georgia,United States,34.726943,-84.887222,1,0,Fatal,fatal,True
84135,ERA12CA424,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/84135/pdf,7/1/2012,Atlanta,Georgia,United States,33.875556,-84.303054,0,0,Non-Fatal,non-fatal,False
84213,ERA12LA431,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/84213/pdf,7/2/2012,Thomson,Georgia,United States,33.529724,-82.516944,0,0,Non-Fatal,non-fatal,False
84383,ERA12FA467,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/84383/pdf,7/20/2012,Cedartown,Georgia,United States,33.903331,-85.348609,1,0,Fatal,fatal,True
84396,ERA12LA469,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/84396/pdf,7/20/2012,Statesboro,Georgia,United States,32.482776,-81.736946,0,0,Non-Fatal,non-fatal,False
84652,ERA12LA503,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/84652/pdf,7/27/2012,Homerville,Georgia,United States,31.035554,-82.750831,0,0,Non-Fatal,non-fatal,False
84672,ERA12LA509,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/84672/pdf,8/12/2012,Grayson,Georgia,United States,33.871112,-83.959442,0,1,Non-Fatal,non-fatal,False
84720,ERA12FA513,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/84720/pdf,8/18/2012,Columbus,Georgia,United States,32.51889,-84.94889,1,0,Fatal,fatal,True
85028,ERA12FA561,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/85028/pdf,9/13/2012,Cumming,Georgia,United States,34.210277,-84.050277,2,0,Fatal,fatal,True
85070,ERA12FA567,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/85070/pdf,9/18/2012,Macon,Georgia,United States,32.824722,-83.571945,0,0,Non-Fatal,non-fatal,False
85157,ERA12CA581,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/85157/pdf,9/26/2012,Statesboro,Georgia,United States,32.482776,-81.736946,0,0,Non-Fatal,non-fatal,False
85264,ERA13CA009,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/85264/pdf,10/4/2012,Cumming,Georgia,United States,34.238609,-84.054168,0,0,Non-Fatal,non-fatal,False
85299,ERA13LA015,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/85299/pdf,10/10/2012,Madison,Georgia,United States,33.6175,-83.465553,0,1,Non-Fatal,non-fatal,False
85369,ERA13LA029,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/85369/pdf,10/19/2012,Edison,Georgia,United States,31.575277,-84.575279,0,0,Non-Fatal,non-fatal,False
85378,ERA13CA033,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/85378/pdf,10/20/2012,Newton,Georgia,United States,31.327222,-84.544441,0,0,Non-Fatal,non-fatal,False
85495,ERA13GA046,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/85495/pdf,11/3/2012,Atlanta,Georgia,United States,33.752777,-84.467224,2,0,Fatal,fatal,True
85558,ERA13LA053,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/85558/pdf,11/11/2012,Jasper,Georgia,United States,34.465278,-84.461944,0,0,Non-Fatal,non-fatal,False
85572,ERA13LA054,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/85572/pdf,11/10/2012,Williamson,Georgia,United States,33.161109,-84.361114,0,0,Non-Fatal,non-fatal,False
85585,ERA13LA056,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/85585/pdf,11/13/2012,Canton,Georgia,United States,34.30722,-84.419723,0,0,Non-Fatal,non-fatal,False
85623,ERA13FA062,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/85623/pdf,11/18/2012,Savannah,Georgia,United States,31.935277,-81.195556,1,0,Fatal,fatal,True
85787,ERA13FA083,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/85787/pdf,12/10/2012,Lake Park,Georgia,United States,30.713611,-83.18222,1,0,Fatal,fatal,True
85843,ERA13LA093,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/85843/pdf,12/18/2012,Calhoun,Georgia,United States,31.329246,-84.940109,1,0,Fatal,fatal,True
85894,ERA13CA098,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/85894/pdf,12/26/2012,Brunswick,Georgia,United States,31.153055,-81.387779,0,0,Non-Fatal,non-fatal,False
86008,ERA13LA110,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/86008/pdf,1/12/2013,Winder,Georgia,United States,33.982776,-83.667503,0,0,Non-Fatal,non-fatal,False
86155,ERA13LA126,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/86155/pdf,2/4/2013,Montrose,Georgia,United States,32.535556,-83.056945,0,0,Non-Fatal,non-fatal,False
86242,ERA13LA138,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/86242/pdf,2/15/2013,Fort Gaines,Georgia,United States,31.488056,-85.009719,0,0,Non-Fatal,non-fatal,False
86272,ERA13MA139,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/86272/pdf,2/20/2013,Thomson,Georgia,United States,33.529445,-82.499725,5,2,Fatal,fatal,True
86314,ERA13CA149,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/86314/pdf,2/24/2013,Rupert,Georgia,United States,32.447223,-84.259162,0,0,Non-Fatal,non-fatal,False
86327,ERA13CA150,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/86327/pdf,2/28/2013,Brunswick,Georgia,United States,31.151945,-81.391113,0,0,Non-Fatal,non-fatal,False
86358,ERA13CA155,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/86358/pdf,3/5/2013,Newnan,Georgia,United States,33.306945,-84.768608,0,0,Non-Fatal,non-fatal,False
86636,ERA13CA200,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/86636/pdf,4/8/2013,Columbus,Georgia,United States,32.509723,-84.936386,0,0,Non-Fatal,non-fatal,False
86776,ERA13CA222,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/86776/pdf,4/24/2013,Milledgeville,Georgia,United States,33.154167,-83.154167,0,0,Non-Fatal,non-fatal,False
86834,ERA13CA230,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/86834/pdf,4/23/2013,Americus,Georgia,United States,32.154998,-84.32389,0,0,Non-Fatal,non-fatal,False
86864,ERA13TA237,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/86864/pdf,5/9/2013,Jekyll Island,Georgia,United States,31.071388,-81.423332,0,0,Non-Fatal,non-fatal,False
86963,ERA13CA250,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/86963/pdf,5/18/2013,Cleveland,Georgia,United States,34.561668,-83.713607,0,0,Non-Fatal,non-fatal,False
86974,ERA13LA252,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/86974/pdf,5/23/2013,Atlanta,Georgia,United States,33.871944,-84.301109,0,0,Non-Fatal,non-fatal,False
87001,ERA13FA256,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/87001/pdf,5/27/2013,Macon,Georgia,United States,32.663887,-83.603057,2,0,Fatal,fatal,True
87260,ERA13LA299,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/87260/pdf,6/19/2013,Cleveland,Georgia,United States,34.556945,-83.708053,0,0,Non-Fatal,non-fatal,False
87596,ERA13LA337,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/87596/pdf,7/27/2013,Columbus,Georgia,United States,32.52,-84.949996,0,0,Non-Fatal,non-fatal,False
87660,ERA13FA349,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/87660/pdf,8/4/2013,Alma,Georgia,United States,31.642221,-82.609725,2,0,Fatal,fatal,True
87925,ERA13CA389,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/87925/pdf,8/30/2013,Blairsville,Georgia,United States,34.812221,-83.806663,0,0,Non-Fatal,non-fatal,False
88030,ERA13CA414,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/88030/pdf,9/8/2013,Shellman Bluff,Georgia,United States,31.639444,-81.328887,0,0,Non-Fatal,non-fatal,False
88047,ERA13CA417,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/88047/pdf,9/14/2013,Blythe,Georgia,United States,33.299167,-82.172775,0,1,Non-Fatal,non-fatal,False
88093,ERA13CA422,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/88093/pdf,9/19/2013,LAWRENCEVILLE,Georgia,United States,33.978054,-83.961944,0,0,Non-Fatal,non-fatal,False
88166,ERA13CA435,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/88166/pdf,9/30/2013,Thomaston,Georgia,United States,32.958332,-84.273612,0,0,Non-Fatal,non-fatal,False
88220,ERA14FA002,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/88220/pdf,10/18/2013,Tifton,Georgia,United States,31.572221,-83.605278,1,0,Fatal,fatal,True
88343,ERA14CA028,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/88343/pdf,10/25/2013,Newnan,Georgia,United States,33.311389,-84.76889,0,0,Non-Fatal,non-fatal,False
88501,ERA14FA058,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/88501/pdf,12/2/2013,Dawsonville,Georgia,United States,34.411666,-84.015556,1,0,Fatal,fatal,True
88564,ERA14FA073,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/88564/pdf,12/17/2013,Atlanta,Georgia,United States,33.821666,-84.469718,2,0,Fatal,fatal,True
88646,ERA14LA089,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/88646/pdf,1/4/2014,Canton,Georgia,United States,34.230834,-84.29528,0,0,Non-Fatal,non-fatal,False
88682,ERA14CA095,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/88682/pdf,1/16/2014,Milledgeville,Georgia,United States,33.154167,-83.241386,0,0,Non-Fatal,non-fatal,False
88694,ERA14LA098,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/88694/pdf,1/14/2014,Savannah,Georgia,United States,32.127498,-81.202224,0,0,Non-Fatal,non-fatal,False
88716,ERA14LA105,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/88716/pdf,1/26/2014,Millen,Georgia,United States,32.800632,-81.940879,0,0,Non-Fatal,non-fatal,False
88825,ERA14FA128,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/88825/pdf,2/22/2014,LaGrange,Georgia,United States,33.005279,-85.070274,3,0,Fatal,fatal,True
88856,ERA14LA137,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/88856/pdf,2/19/2014,Macon,Georgia,United States,32.821666,-83.561943,0,2,Non-Fatal,non-fatal,False
88964,ERA14FA168,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/88964/pdf,3/24/2014,Brunswick,Georgia,United States,31.28,-81.411392,2,0,Fatal,fatal,True
