MKey,NTSBNumber,Report,EventDate,City,StateOrRegion,Country,Latitude,Longitude,FatalInjuries,SeriousInjuries,InjuryLevel,InjuryCategory,IsFatal
82715,WPR12CA082,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/82715/pdf,1/26/2012,Honolulu,Hawaii,United States,21.318611,-157.922225,0,0,Non-Fatal,non-fatal,False
82804,WPR12CA088,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/82804/pdf,2/1/2012,Mokuleia,Hawaii,United States,21.574443,-158.191665,0,0,Non-Fatal,non-fatal,False
83079,WPR12LA125,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83079/pdf,3/2/2012,Makakilo City,Hawaii,United States,21.340114,-158.08023,0,0,Non-Fatal,non-fatal,False
83128,WPR12CA134,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83128/pdf,2/20/2012,Dillingham,Hawaii,United States,21.57361,-158.19139,0,0,Non-Fatal,non-fatal,False
83439,WPR12LA176,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83439/pdf,4/19/2012,Ookala,Hawaii,United States,20.002222,-155.301391,0,1,Non-Fatal,non-fatal,False
83560,WPR12LA195,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83560/pdf,5/2/2012,Kailua-Kona,Hawaii,United States,19.785278,-155.93222,0,1,Non-Fatal,non-fatal,False
84378,WPR12LA314,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/84378/pdf,6/6/2012,Hilo,Hawaii,United States,21.289443,-157.908889,0,0,Non-Fatal,non-fatal,False
85298,WPR13LA007,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/85298/pdf,10/7/2012,Kamuela,Hawaii,United States,20.000833,-155.667495,0,1,Non-Fatal,non-fatal,False
85452,WPR13CA027,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/85452/pdf,10/28/2012,Hanapepe,Hawaii,United States,21.896944,-159.603057,0,0,Non-Fatal,non-fatal,False
85726,WPR13LA062,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/85726/pdf,12/1/2012,Kahului,Hawaii,United States,21.026111,-156.454162,1,0,Fatal,fatal,True
