MKey,NTSBNumber,Report,EventDate,City,StateOrRegion,Country,Latitude,Longitude,FatalInjuries,SeriousInjuries,InjuryLevel,InjuryCategory,IsFatal
82774,WPR12CA086,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/82774/pdf,1/30/2012,Cascade,Idaho,United States,44.492221,-116.014724,0,0,Non-Fatal,non-fatal,False
82809,WPR12FA089,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/82809/pdf,2/3/2012,Boise,Idaho,United States,43.564167,-116.222778,1,0,Fatal,fatal,True
82893,WPR12CA103,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/82893/pdf,2/5/2012,Yellow Pine,Idaho,United States,44.899723,-115.332778,0,0,Non-Fatal,non-fatal,False
82947,WPR12CA112,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/82947/pdf,2/14/2012,Yellow Pine,Idaho,United States,44.899723,-115.332778,0,0,Non-Fatal,non-fatal,False
83145,WPR12CA137,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83145/pdf,3/14/2012,Caldwell,Idaho,United States,43.641944,-116.635833,0,0,Non-Fatal,non-fatal,False
83194,WPR12LA143,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83194/pdf,3/22/2012,Caldwell,Idaho,United States,43.63861,-116.634719,0,0,Non-Fatal,non-fatal,False
83235,WPR12CA148,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83235/pdf,3/25/2012,Coolin,Idaho,United States,48.520557,-116.822776,0,0,Non-Fatal,non-fatal,False
83319,WPR12CA157,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83319/pdf,4/6/2012,Nampa,Idaho,United States,43.58139,-116.523056,0,0,Non-Fatal,non-fatal,False
83421,WPR12CA170,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83421/pdf,4/15/2012,McCall,Idaho,United States,44.889167,-116.101943,0,0,Non-Fatal,non-fatal,False
83613,WPR12LA200,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83613/pdf,5/11/2012,Rexburg,Idaho,United States,43.833889,-111.802223,0,0,Non-Fatal,non-fatal,False
83615,WPR12CA202,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83615/pdf,5/12/2012,Idaho Falls,Idaho,United States,43.51361,-112.070831,0,0,Non-Fatal,non-fatal,False
83692,WPR12LA219,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83692/pdf,5/20/2012,Twin Falls,Idaho,United States,42.483333,-114.483329,0,0,Non-Fatal,non-fatal,False
83753,WPR12LA225,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83753/pdf,5/22/2012,Buhl,Idaho,United States,42.591388,-114.796669,0,1,Non-Fatal,non-fatal,False
83760,WPR12LA231,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83760/pdf,5/26/2012,Silver City,Idaho,United States,42.99361,-116.66333,0,0,Non-Fatal,non-fatal,False
83768,WPR12CA234,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83768/pdf,5/3/2012,Hayden Lake,Idaho,United States,47.774444,-116.819725,0,0,Non-Fatal,non-fatal,False
83817,WPR12CA240,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83817/pdf,5/30/2012,Jerome,Idaho,United States,42.722778,-114.453887,0,0,Non-Fatal,non-fatal,False
83907,WPR12FA255,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83907/pdf,6/9/2012,Mountain Home,Idaho,United States,43.424446,-115.484725,1,0,Fatal,fatal,True
