MKey,NTSBNumber,Report,EventDate,City,StateOrRegion,Country,Latitude,Longitude,FatalInjuries,SeriousInjuries,InjuryLevel,InjuryCategory,IsFatal
83551,CEN12FA271,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83551/pdf,5/3/2012,Lake in the Hills,Illinois,United States,42.2075,-88.308891,2,0,Fatal,fatal,True
83579,CEN12CA280,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83579/pdf,5/8/2012,Sterling,Illinois,United States,41.742778,-89.676109,0,0,Non-Fatal,non-fatal,False
83716,CEN12LA309,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83716/pdf,5/19/2012,Lebanon,Illinois,United States,38.610279,-89.871391,0,0,Non-Fatal,non-fatal,False
83783,CEN12LA325,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83783/pdf,5/27/2012,Peoria,Illinois,United States,40.795276,-89.613334,0,0,Non-Fatal,non-fatal,False
83941,CEN12CA363,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83941/pdf,6/6/2012,New Douglas,Illinois,United States,38.925277,-89.662223,0,0,Non-Fatal,non-fatal,False
84098,CEN12FA395,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/84098/pdf,6/26/2012,Monroe Center,Illinois,United States,42.118331,-88.974166,1,0,Fatal,fatal,True
84337,CEN12LA446,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/84337/pdf,7/15/2012,Peru,Illinois,United States,41.349998,-89.152778,0,0,Non-Fatal,non-fatal,False
84363,CEN12LA455,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/84363/pdf,7/17/2012,Shelby,Illinois,United States,40.348735,-88.986213,0,0,Non-Fatal,non-fatal,False
84364,CEN12LA456,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/84364/pdf,6/22/2012,Metropolis,Illinois,United States,37.185832,-88.750556,0,0,Non-Fatal,non-fatal,False
84422,CEN12LA470,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/84422/pdf,7/22/2012,Chicago,Illinois,United States,41.609722,-87.407775,0,0,Non-Fatal,non-fatal,False
