MKey,NTSBNumber,Report,EventDate,City,StateOrRegion,Country,Latitude,Longitude,FatalInjuries,SeriousInjuries,InjuryLevel,InjuryCategory,IsFatal
82730,CEN12FA143,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/82730/pdf,1/21/2012,North Vernon,Indiana,United States,38.895832,-85.555557,2,0,Fatal,fatal,True
83186,CEN12LA195,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83186/pdf,3/20/2012,Indianapolis,Indiana,United States,39.830833,-86.294441,0,0,Non-Fatal,non-fatal,False
83203,CEN12LA198,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83203/pdf,3/23/2012,Bloomfield,Indiana,United States,39.038887,-87.001388,0,2,Non-Fatal,non-fatal,False
83582,CEN12LA282,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83582/pdf,5/9/2012,Flora,Indiana,United States,40.485553,-86.54528,0,0,Non-Fatal,non-fatal,False
83802,CEN12LA332,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83802/pdf,5/26/2012,Greenfield,Indiana,United States,39.790279,-85.736114,0,0,Non-Fatal,non-fatal,False
83890,CEN12CA347,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83890/pdf,6/6/2012,Sellersburg,Indiana,United States,38.433334,-85.866668,0,1,Non-Fatal,non-fatal,False
83923,CEN12CA355,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83923/pdf,6/9/2012,Rockville,Indiana,United States,39.738887,-87.219444,0,0,Non-Fatal,non-fatal,False
83926,CEN12CA356,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83926/pdf,6/11/2012,Indianapolis,Indiana,United States,39.627498,-86.088058,0,0,Non-Fatal,non-fatal,False
83937,CEN12CA360,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83937/pdf,6/9/2012,Kokomo,Indiana,United States,40.521945,-86.054725,0,0,Non-Fatal,non-fatal,False
84099,CEN12CA396,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/84099/pdf,6/26/2012,Valparaiso,Indiana,United States,41.453887,-87.006942,0,0,Non-Fatal,non-fatal,False
84143,CEN12LA407,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/84143/pdf,6/29/2012,Evansville,Indiana,United States,38.016666,-87.591667,0,1,Non-Fatal,non-fatal,False
84164,CEN12CA415,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/84164/pdf,6/24/2012,Richmond,Indiana,United States,39.756111,-84.842781,0,0,Non-Fatal,non-fatal,False
84235,CEN12LA424,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/84235/pdf,7/8/2012,Bedford,Indiana,United States,38.837223,-86.440551,0,1,Non-Fatal,non-fatal,False
84471,CEN12CA484,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/84471/pdf,7/27/2012,Austin,Indiana,United States,38.736389,-85.639999,0,1,Non-Fatal,non-fatal,False
84515,CEN12LA494,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/84515/pdf,7/28/2012,Columbus,Indiana,United States,39.261665,-85.89611,0,0,Non-Fatal,non-fatal,False
84616,CEN12LA532,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/84616/pdf,8/7/2012,Evansville,Indiana,United States,38.038612,-87.53083,0,0,Non-Fatal,non-fatal,False
84658,CEN12LA540,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/84658/pdf,8/11/2012,Westfield,Indiana,United States,40.048889,-86.157775,0,0,Non-Fatal,non-fatal,False
