MKey,NTSBNumber,Report,EventDate,City,StateOrRegion,Country,Latitude,Longitude,FatalInjuries,SeriousInjuries,InjuryLevel,InjuryCategory,IsFatal
82949,CEN12LA167,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/82949/pdf,2/19/2012,Clarinda,Iowa,United States,40.705554,-95.04972,1,0,Fatal,fatal,True
83240,CEN12LA209,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83240/pdf,3/28/2012,Larchwood,Iowa,United States,43.451389,-96.40583,1,0,Fatal,fatal,True
83247,CEN12CA213,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83247/pdf,3/24/2012,Council Bluffs,Iowa,United States,41.259998,-95.758613,0,0,Non-Fatal,non-fatal,False
83294,CEN12LA224,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83294/pdf,4/1/2012,Winterset,Iowa,United States,41.329479,-94.01062,0,0,Non-Fatal,non-fatal,False
83415,CEN12LA247,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83415/pdf,4/17/2012,Grinnell,Iowa,United States,41.709999,-92.736114,0,0,Non-Fatal,non-fatal,False
83865,CEN12LA340,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83865/pdf,6/4/2012,Manchester,Iowa,United States,42.490276,-91.497779,1,0,Fatal,fatal,True
84119,CEN12CA402,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/84119/pdf,6/26/2012,Grinnell,Iowa,United States,41.705833,-92.734725,0,0,Non-Fatal,non-fatal,False
84144,CEN12LA408,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/84144/pdf,6/30/2012,Griswold,Iowa,United States,41.333332,-95.083335,0,1,Non-Fatal,non-fatal,False
84284,CEN12CA435,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/84284/pdf,7/9/2012,Treynor,Iowa,United States,41.189723,-95.586669,0,0,Non-Fatal,non-fatal,False
84319,CEN12LA441,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/84319/pdf,7/14/2012,Elkader,Iowa,United States,42.847221,-91.382225,0,1,Non-Fatal,non-fatal,False
84323,CEN12LA443,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/84323/pdf,7/14/2012,Red Oak,Iowa,United States,41.086112,-95.263053,0,0,Non-Fatal,non-fatal,False
84358,CEN12LA453,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/84358/pdf,7/17/2012,Britt,Iowa,United States,43.121112,-93.746948,1,0,Fatal,fatal,True
84543,CEN12CA503,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/84543/pdf,7/29/2012,Keokuk,Iowa,United States,40.45972,-91.428611,0,0,Non-Fatal,non-fatal,False
84919,CEN12LA602,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/84919/pdf,9/1/2012,Davenport,Iowa,United States,41.610279,-90.588333,1,0,Fatal,fatal,True
84937,CEN12CA607,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/84937/pdf,8/31/2012,Council Bluffs,Iowa,United States,41.256111,-95.755279,0,0,Non-Fatal,non-fatal,False
85023,CEN12LA629,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/85023/pdf,9/12/2012,Clinton,Iowa,United States,41.830833,-90.328887,0,0,Non-Fatal,non-fatal,False
85184,CEN12LA667,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/85184/pdf,9/30/2012,Decorah,Iowa,United States,43.271945,-91.736946,0,0,Non-Fatal,non-fatal,False
85687,CEN13FA078,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/85687/pdf,11/28/2012,Clutier,Iowa,United States,42.086112,-92.442222,1,1,Fatal,fatal,True
85712,CEN13FA082,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/85712/pdf,12/1/2012,Correctionville,Iowa,United States,42.449722,-95.81639,2,1,Fatal,fatal,True
85724,CEN13CA087,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/85724/pdf,11/20/2012,Red Oak,Iowa,United States,41.010833,-95.258613,0,0,Non-Fatal,non-fatal,False
85944,CEN13FA122,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/85944/pdf,1/2/2013,Clear Lake,Iowa,United States,43.142776,-93.48278,3,0,Fatal,fatal,True
86020,CEN13CA133,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/86020/pdf,1/11/2013,Ankeny,Iowa,United States,41.691112,-93.56639,0,0,Non-Fatal,non-fatal,False
86709,CEN13CA238,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/86709/pdf,4/23/2013,Lanesboro,Iowa,United States,42.161388,-94.633888,0,0,Non-Fatal,non-fatal,False
86944,CEN13LA287,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/86944/pdf,5/18/2013,Oskaloosa,Iowa,United States,41.200443,-92.499183,0,0,Non-Fatal,non-fatal,False
86956,CEN13CA289,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/86956/pdf,5/13/2013,Ankeny,Iowa,United States,41.691112,-93.56639,0,0,Non-Fatal,non-fatal,False
86965,CEN13CA290,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/86965/pdf,5/12/2013,Pella,Iowa,United States,41.401111,-92.945831,0,0,Non-Fatal,non-fatal,False
