MKey,NTSBNumber,Report,EventDate,City,StateOrRegion,Country,Latitude,Longitude,FatalInjuries,SeriousInjuries,InjuryLevel,InjuryCategory,IsFatal
83978,ERA12FA395,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83978/pdf,6/15/2012,Westminster,Maryland,United States,39.608612,-77.007499,1,0,Fatal,fatal,True
84070,ERA12CA413,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/84070/pdf,6/24/2012,Hurlock,Maryland,United States,38.679721,-75.860557,0,0,Non-Fatal,non-fatal,False
84096,ERA12CA416,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/84096/pdf,6/15/2012,Churchville,Maryland,United States,39.566665,-76.201385,0,0,Non-Fatal,non-fatal,False
84271,ERA12CA439,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/84271/pdf,6/17/2012,Frederick,Maryland,United States,39.417499,-77.374443,0,0,Non-Fatal,non-fatal,False
84341,ERA12FA458,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/84341/pdf,7/16/2012,Laytonsville,Maryland,United States,39.242221,-77.154441,1,0,Fatal,fatal,True
84371,ERA12FA465,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/84371/pdf,7/19/2012,Berlin,Maryland,United States,38.358055,-75.227775,1,0,Fatal,fatal,True
84745,ERA12LA518,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/84745/pdf,8/16/2012,Worton,Maryland,United States,39.27222,-76.125,0,0,Non-Fatal,non-fatal,False
84986,ERA12LA555,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/84986/pdf,9/9/2012,Rawlings,Maryland,United States,39.467224,-78.957778,0,1,Non-Fatal,non-fatal,False
85744,ERA13CA079,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/85744/pdf,12/4/2012,Easton,Maryland,United States,38.804164,-76.068885,0,0,Non-Fatal,non-fatal,False
86106,ERA13CA122,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/86106/pdf,1/29/2013,Westminster,Maryland,United States,39.450279,-77.017219,0,0,Non-Fatal,non-fatal,False
87050,ERA13TA261,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/87050/pdf,5/30/2013,Columbia,Maryland,United States,39.21611,-76.871109,0,0,Non-Fatal,non-fatal,False
87305,ERA13CA305,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/87305/pdf,6/25/2013,Stevensville,Maryland,United States,38.917499,-76.355278,0,0,Non-Fatal,non-fatal,False
87334,ERA13FA309,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/87334/pdf,6/30/2013,Ocean City,Maryland,United States,38.434444,-75.040557,2,0,Fatal,fatal,True
87512,ERA13FA325,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/87512/pdf,7/18/2013,Laurel,Maryland,United States,39.089168,-76.824165,0,1,Non-Fatal,non-fatal,False
87621,ERA13LA342,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/87621/pdf,7/29/2013,Leonardtown,Maryland,United States,38.287776,-76.601112,0,0,Non-Fatal,non-fatal,False
87744,ERA13LA361,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/87744/pdf,8/11/2013,Vienna,Maryland,United States,38.300556,-76.004447,0,0,Non-Fatal,non-fatal,False
87863,ERA13CA377,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/87863/pdf,8/24/2013,Mitchellville,Maryland,United States,38.941112,-76.772224,0,0,Non-Fatal,non-fatal,False
87871,ERA13LA379,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/87871/pdf,8/23/2013,Easton,Maryland,United States,38.797222,-76.071945,0,0,Non-Fatal,non-fatal,False
87884,ERA13CA383,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/87884/pdf,8/27/2013,Chestertown,Maryland,United States,39.25,-76.205276,0,0,Non-Fatal,non-fatal,False
87940,ERA13LA391,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/87940/pdf,9/2/2013,Mitchellville,Maryland,United States,38.941387,-76.772224,0,3,Non-Fatal,non-fatal,False
88094,ERA13CA423,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/88094/pdf,9/20/2013,Ridgely,Maryland,United States,38.939502,-75.880744,0,0,Non-Fatal,non-fatal,False
88103,ERA13CA425,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/88103/pdf,9/21/2013,Salisbury,Maryland,United States,38.337223,-75.509445,0,0,Non-Fatal,non-fatal,False
88404,ERA14CA039,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/88404/pdf,11/4/2013,Fallston,Maryland,United States,39.520542,-76.420486,0,0,Non-Fatal,non-fatal,False
88482,ERA14LA050,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/88482/pdf,10/8/2013,Ridgely,Maryland,United States,38.970001,-75.866386,0,0,Non-Fatal,non-fatal,False
89154,ERA14CA217,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/89154/pdf,5/1/2014,Frederick,Maryland,United States,39.417499,-77.374443,0,0,Non-Fatal,non-fatal,False
89250,ERA14LA252,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/89250/pdf,5/21/2014,Elkton,Maryland,United States,39.574165,-75.86972,0,0,Non-Fatal,non-fatal,False
89271,ERA14CA258,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/89271/pdf,5/20/2014,Stevensville,Maryland,United States,38.976387,-76.330001,0,0,Non-Fatal,non-fatal,False
89272,ERA14CA259,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/89272/pdf,5/25/2014,Essex,Maryland,United States,39.250278,-76.362503,0,0,Non-Fatal,non-fatal,False
89631,ERA14CA334,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/89631/pdf,7/8/2014,Edgewater,Maryland,United States,38.942779,-76.568336,0,0,Non-Fatal,non-fatal,False
89730,ERA14CA354,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/89730/pdf,7/17/2014,Hagerstown,Maryland,United States,39.680385,-77.65084,0,0,Non-Fatal,non-fatal,False
89938,ERA14LA404,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/89938/pdf,8/23/2014,Gaithersburg,Maryland,United States,39.165832,-77.160835,0,1,Non-Fatal,non-fatal,False
89955,ERA14CA408,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/89955/pdf,8/16/2014,Baltimore,Maryland,United States,39.321945,-76.408058,0,0,Non-Fatal,non-fatal,False
90071,ERA14TA435,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/90071/pdf,9/13/2014,Gaithersburg,Maryland,United States,39.163612,-77.158058,0,0,Non-Fatal,non-fatal,False
90293,ERA15FA025,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/90293/pdf,10/23/2014,Frederick,Maryland,United States,39.410831,-77.382499,3,0,Fatal,fatal,True
90473,DCA15MA029,https://www.ntsb.gov/investigations/AccidentReports/Reports/AAR1601.pdf,12/8/2014,Gaithersburg,Maryland,United States,39.180278,-77.180557,6,0,Fatal,fatal,True
90538,ERA15LA084,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/90538/pdf,12/27/2014,Westminster,Maryland,United States,39.608333,-77.007774,0,1,Non-Fatal,non-fatal,False
90699,ERA15LA123,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/90699/pdf,2/8/2015,Fort Meade,Maryland,United States,39.085834,-76.769165,0,2,Non-Fatal,non-fatal,False
90880,ERA15CA157,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/90880/pdf,3/16/2015,Laurel,Maryland,United States,39.076946,-76.828056,0,0,Non-Fatal,non-fatal,False
90910,GAA15CA014,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/90910/pdf,3/19/2015,Cambridge,Maryland,United States,38.541389,-76.032501,0,0,Non-Fatal,non-fatal,False
90969,GAA15CA030,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/90969/pdf,3/26/2015,Fort Meade,Maryland,United States,39.085556,-76.765274,0,0,Non-Fatal,non-fatal,False
90974,GAA15CA031,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/90974/pdf,3/16/2015,Easton,Maryland,United States,38.7975,-76.071945,0,0,Non-Fatal,non-fatal,False
91004,ERA15LA179,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/91004/pdf,3/24/2015,Taylors Island,Maryland,United States,38.502223,-76.171669,0,0,Non-Fatal,non-fatal,False
