MKey,NTSBNumber,Report,EventDate,City,StateOrRegion,Country,Latitude,Longitude,FatalInjuries,SeriousInjuries,InjuryLevel,InjuryCategory,IsFatal
82669,ERA12FA143,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/82669/pdf,1/11/2012,Fitchburg,Massachusetts,United States,42.561943,-71.771667,0,1,Non-Fatal,non-fatal,False
82683,ERA12LA145,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/82683/pdf,1/15/2012,Brewster,Massachusetts,United States,41.776668,-70.116386,2,0,Fatal,fatal,True
83087,ERA12CA220,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83087/pdf,3/4/2012,Beverly,Massachusetts,United States,42.583057,-70.907775,0,0,Non-Fatal,non-fatal,False
83385,ERA12LA279,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83385/pdf,4/13/2012,Falmouth,Massachusetts,United States,41.580276,-70.545829,0,0,Non-Fatal,non-fatal,False
83819,ERA12CA377,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83819/pdf,5/31/2012,Lawrence,Massachusetts,United States,42.717498,-71.128051,0,0,Non-Fatal,non-fatal,False
84876,ERA12FA540,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/84876/pdf,9/1/2012,Falmouth,Massachusetts,United States,41.58472,-70.542778,1,2,Fatal,fatal,True
85380,ERA13LA034,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/85380/pdf,10/21/2012,Mansfield,Massachusetts,United States,42.000556,-71.192222,0,0,Non-Fatal,non-fatal,False
85509,ERA13CA047,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/85509/pdf,10/18/2012,Plymouth,Massachusetts,United States,41.908889,-70.728889,0,0,Non-Fatal,non-fatal,False
86692,ERA13CA210,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/86692/pdf,4/20/2013,Stow,Massachusetts,United States,42.460556,-71.517776,0,0,Non-Fatal,non-fatal,False
86885,ERA13LA241,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/86885/pdf,5/13/2013,Southwick,Massachusetts,United States,42.074443,-72.817497,0,0,Non-Fatal,non-fatal,False
87100,ERA13LA270,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/87100/pdf,6/5/2013,Cuttyhunk,Massachusetts,United States,41.408889,-70.933891,1,0,Fatal,fatal,True
87700,ERA13CA354,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/87700/pdf,8/6/2013,Orange,Massachusetts,United States,42.568611,-72.286392,0,0,Non-Fatal,non-fatal,False
87702,ERA13CA355,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/87702/pdf,7/31/2013,New Bedford,Massachusetts,United States,41.676666,-70.958335,0,0,Non-Fatal,non-fatal,False
87723,ERA13LA360,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/87723/pdf,8/11/2013,Westport,Massachusetts,United States,41.570556,-71.121391,0,0,Non-Fatal,non-fatal,False
87854,ERA13FA372,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/87854/pdf,8/25/2013,Taunton,Massachusetts,United States,41.872776,-71.011108,2,0,Fatal,fatal,True
88043,ERA13CA415,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/88043/pdf,9/8/2013,Edgartown,Massachusetts,United States,41.358333,-70.524444,0,0,Non-Fatal,non-fatal,False
88442,ERA14LA043,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/88442/pdf,11/15/2013,Marshfield,Massachusetts,United States,42.098331,-70.672225,0,1,Non-Fatal,non-fatal,False
88813,ERA14CA124,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/88813/pdf,2/15/2014,Mansfield,Massachusetts,United States,42.0,-71.195831,0,0,Non-Fatal,non-fatal,False
88866,ERA14CA139,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/88866/pdf,3/1/2014,Marlboro,Massachusetts,United States,42.343055,-71.508888,0,0,Non-Fatal,non-fatal,False
89241,ERA14LA248,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/89241/pdf,5/21/2014,Beverly,Massachusetts,United States,42.584167,-70.916114,0,0,Non-Fatal,non-fatal,False
89324,ERA14MA271,https://www.ntsb.gov/investigations/AccidentReports/Reports/AAR1503.pdf,5/31/2014,Bedford,Massachusetts,United States,42.468887,-71.267776,7,0,Fatal,fatal,True
89713,ERA14LA347,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/89713/pdf,7/19/2014,Clinton,Massachusetts,United States,42.416667,-71.683334,0,3,Non-Fatal,non-fatal,False
89727,ERA14CA352,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/89727/pdf,7/22/2014,Chatham,Massachusetts,United States,41.686943,-69.990837,0,0,Non-Fatal,non-fatal,False
89755,ERA14CA364,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/89755/pdf,7/19/2014,Falmouth,Massachusetts,United States,41.585556,-70.540275,0,0,Non-Fatal,non-fatal,False
89924,ERA14CA400,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/89924/pdf,8/9/2014,Stow,Massachusetts,United States,42.460556,-71.517776,0,0,Non-Fatal,non-fatal,False
89997,ERA14CA419,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/89997/pdf,8/23/2014,Pepperell,Massachusetts,United States,42.7,-71.550003,0,0,Non-Fatal,non-fatal,False
90253,ERA15LA015,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/90253/pdf,10/12/2014,Granville,Massachusetts,United States,42.099723,-72.923057,0,0,Non-Fatal,non-fatal,False
90603,ERA15CA101,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/90603/pdf,1/15/2015,Stow,Massachusetts,United States,42.460556,-71.517776,0,0,Non-Fatal,non-fatal,False
91178,GAA15CA073,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/91178/pdf,4/30/2015,Newburyport,Massachusetts,United States,42.795276,-70.839447,0,0,Non-Fatal,non-fatal,False
91445,ERA15FA254,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/91445/pdf,6/28/2015,Plainville,Massachusetts,United States,42.019721,-71.363609,3,0,Fatal,fatal,True
91549,ERA15LA266,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/91549/pdf,7/13/2015,Southbridge,Massachusetts,United States,42.107223,-72.036941,0,0,Non-Fatal,non-fatal,False
91667,ERA15LA291,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/91667/pdf,7/29/2015,Winchendon,Massachusetts,United States,42.68111,-72.049163,0,0,Non-Fatal,non-fatal,False
91948,GAA15CA253,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/91948/pdf,8/29/2015,Stow,Massachusetts,United States,42.460556,-71.517776,0,0,Non-Fatal,non-fatal,False
91988,ERA15LA360,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/91988/pdf,9/15/2015,East Falmouth,Massachusetts,United States,41.585556,-70.540275,0,0,Non-Fatal,non-fatal,False
92045,GAA15CA273,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/92045/pdf,9/19/2015,Marshfield,Massachusetts,United States,42.096942,-70.674163,0,0,Non-Fatal,non-fatal,False
92222,ERA16FA023,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/92222/pdf,10/24/2015,Worcester,Massachusetts,United States,42.26139,-71.869163,1,0,Fatal,fatal,True
92776,ERA16LA115,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/92776/pdf,2/27/2016,Plymouth,Massachusetts,United States,41.910278,-70.728889,0,1,Non-Fatal,non-fatal,False
93098,ERA16LA177,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/93098/pdf,4/30/2016,Worcester,Massachusetts,United States,42.267223,-71.875556,0,0,Non-Fatal,non-fatal,False
93400,ERA16LA216,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/93400/pdf,6/17/2016,Chatham,Massachusetts,United States,41.71389,-69.98278,0,2,Non-Fatal,non-fatal,False
93496,GAA16CA344,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/93496/pdf,6/25/2016,Fitchburg,Massachusetts,United States,42.55389,-71.759162,0,0,Non-Fatal,non-fatal,False
93612,ERA16LA258,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/93612/pdf,7/16/2016,Westwood,Massachusetts,United States,42.209445,-71.158332,1,1,Fatal,fatal,True
93682,GAA16CA389,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/93682/pdf,7/24/2016,Hyannis,Massachusetts,United States,41.665554,-70.281387,0,0,Non-Fatal,non-fatal,False
93777,ERA16LA280,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/93777/pdf,8/6/2016,Northampton,Massachusetts,United States,42.328056,-72.611114,0,0,Non-Fatal,non-fatal,False
93901,ERA16LA300,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/93901/pdf,8/19/2016,Littleton,Massachusetts,United States,42.523887,-71.491668,0,0,Non-Fatal,non-fatal,False
94097,GAA16CA515,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/94097/pdf,9/25/2016,Pittsfield,Massachusetts,United States,42.427501,-73.292503,0,1,Non-Fatal,non-fatal,False
94356,GAA17CA062,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/94356/pdf,11/8/2016,Fitchburg,Massachusetts,United States,42.55389,-71.759162,0,0,Non-Fatal,non-fatal,False
94778,GAA17CA156,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/94778/pdf,2/24/2017,Orange,Massachusetts,United States,42.571666,-72.289443,0,0,Non-Fatal,non-fatal,False
94786,ERA17FA117,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/94786/pdf,2/28/2017,Methuen,Massachusetts,United States,42.722778,-71.135833,1,0,Fatal,fatal,True
95316,GAA17CA326,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/95316/pdf,6/4/2017,Newburyport,Massachusetts,United States,42.795276,-70.839447,0,0,Non-Fatal,non-fatal,False
96038,ERA17LA329,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/96038/pdf,9/13/2017,Nantucket,Massachusetts,United States,41.250831,-70.067497,0,0,Non-Fatal,non-fatal,False
96094,GAA17CA557,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/96094/pdf,9/26/2017,Orange,Massachusetts,United States,42.569999,-72.288612,0,0,Non-Fatal,non-fatal,False
96320,ERA18LA023,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/96320/pdf,11/2/2017,Montague,Massachusetts,United States,42.594165,-72.524719,0,0,Non-Fatal,non-fatal,False
96403,GAA18CA065,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/96403/pdf,11/24/2017,NORTHAMPTON,Massachusetts,United States,42.230308,-71.529953,0,0,Non-Fatal,non-fatal,False
96435,GAA18CA071,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/96435/pdf,12/4/2017,Hyannis,Massachusetts,United States,41.668888,-70.280281,0,0,Non-Fatal,non-fatal,False
96715,GAA18CA134,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/96715/pdf,2/4/2018,Great Barrington,Massachusetts,United States,42.184444,-73.406669,0,0,Non-Fatal,non-fatal,False
96874,GAA18CA163,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/96874/pdf,3/11/2018,Bedford,Massachusetts,United States,42.470275,-71.289718,0,0,Non-Fatal,non-fatal,False
96976,GAA18CA199,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/96976/pdf,3/29/2018,New Bedford,Massachusetts,United States,41.676944,-70.95861,0,0,Non-Fatal,non-fatal,False
97121,ERA18LA136,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/97121/pdf,4/26/2018,Barre Plains,Massachusetts,United States,42.230442,-71.529861,0,0,Non-Fatal,non-fatal,False
97288,GAA18CA288,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/97288/pdf,5/20/2018,Marlborough,Massachusetts,United States,42.344444,-71.511665,0,0,Non-Fatal,non-fatal,False
97556,ERA18LA175,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/97556/pdf,6/20/2018,Newburyport,Massachusetts,United States,42.79639,-70.839447,0,0,Non-Fatal,non-fatal,False
98152,ERA18FA230,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/98152/pdf,8/24/2018,Hanson,Massachusetts,United States,42.022499,-70.835281,1,1,Fatal,fatal,True
98168,ERA18TA236,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/98168/pdf,8/27/2018,Hanson,Massachusetts,United States,42.02222,-70.837219,0,0,Non-Fatal,non-fatal,False
98300,ERA18FA251,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/98300/pdf,9/15/2018,Woburn,Massachusetts,United States,42.454166,-71.182777,2,0,Fatal,fatal,True
99012,ERA19FA107,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/99012/pdf,2/23/2019,Mansfield,Massachusetts,United States,42.004444,-71.199722,2,0,Fatal,fatal,True
