MKey,NTSBNumber,Report,EventDate,City,StateOrRegion,Country,Latitude,Longitude,FatalInjuries,SeriousInjuries,InjuryLevel,InjuryCategory,IsFatal
82660,CEN12LA128,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/82660/pdf,1/5/2012,Revere,Minnesota,United States,43.229999,-95.300003,0,0,Non-Fatal,non-fatal,False
82694,CEN12CA136,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/82694/pdf,1/13/2012,Willmar,Minnesota,United States,45.116943,-95.129447,0,0,Non-Fatal,non-fatal,False
83187,CEN12FA196,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83187/pdf,3/21/2012,Glencoe,Minnesota,United States,44.831943,-94.132499,3,0,Fatal,fatal,True
83398,CEN12LA244,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83398/pdf,4/14/2012,Clara City,Minnesota,United States,44.950454,-95.360176,0,1,Non-Fatal,non-fatal,False
83569,CEN12CA278,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83569/pdf,5/3/2012,Redwood Falls,Minnesota,United States,44.541389,-95.075836,0,0,Non-Fatal,non-fatal,False
83632,CEN12CA295,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83632/pdf,5/9/2012,Moorhead,Minnesota,United States,46.839168,-96.663887,0,0,Non-Fatal,non-fatal,False
83754,CEN12CA319,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83754/pdf,5/25/2012,Delavan,Minnesota,United States,43.768054,-94.018333,0,1,Non-Fatal,non-fatal,False
83829,CEN12LA333,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83829/pdf,5/31/2012,Hutchinson,Minnesota,United States,44.883335,-94.400001,0,1,Non-Fatal,non-fatal,False
83964,CEN12FAMS1,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83964/pdf,6/8/2012,Duluth,Minnesota,United States,47.05722,-91.596664,1,0,Fatal,fatal,True
84130,CEN12CA405,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/84130/pdf,6/18/2012,Glencoe,Minnesota,United States,44.755832,-94.08139,0,0,Non-Fatal,non-fatal,False
84355,CEN12LA452,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/84355/pdf,7/12/2012,Minneapolis,Minnesota,United States,44.823055,-93.455001,0,0,Non-Fatal,non-fatal,False
84390,CEN12CA461,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/84390/pdf,7/19/2012,Hutchinson,Minnesota,United States,44.855834,-94.376113,0,0,Non-Fatal,non-fatal,False
84410,CEN12LA466,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/84410/pdf,7/22/2012,Cross Lake,Minnesota,United States,46.40139,-94.134719,1,1,Fatal,fatal,True
84459,CEN12LA480,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/84459/pdf,7/25/2012,Akeley,Minnesota,United States,46.903888,-94.723609,0,0,Non-Fatal,non-fatal,False
84500,CEN12LA491,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/84500/pdf,7/19/2012,Fergus Falls,Minnesota,United States,46.283889,-96.153892,0,0,Non-Fatal,non-fatal,False
84502,CEN12LA492,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/84502/pdf,7/10/2012,Springfield,Minnesota,United States,44.231109,-94.998886,0,0,Non-Fatal,non-fatal,False
84689,CEN12CA546,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/84689/pdf,8/14/2012,Hanley Falls,Minnesota,United States,44.702777,-95.719444,0,0,Non-Fatal,non-fatal,False
84842,CEN12LA584,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/84842/pdf,8/27/2012,Bemidji,Minnesota,United States,47.496112,-94.952774,1,1,Fatal,fatal,True
