MKey,NTSBNumber,Report,EventDate,City,StateOrRegion,Country,Latitude,Longitude,FatalInjuries,SeriousInjuries,InjuryLevel,InjuryCategory,IsFatal
82808,CEN12LA147,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/82808/pdf,2/2/2012,Kansas City,Missouri,United States,39.149028,-94.57949,0,0,Non-Fatal,non-fatal,False
82901,CEN12FA158,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/82901/pdf,2/14/2012,Osborn,Missouri,United States,39.701389,-94.400833,2,0,Fatal,fatal,True
83127,CEN12LA187,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83127/pdf,3/13/2012,Kimberling,Missouri,United States,36.605834,-93.440002,1,0,Fatal,fatal,True
83154,CEN12FA188,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83154/pdf,3/18/2012,Mexico,Missouri,United States,39.154445,-91.817497,1,1,Fatal,fatal,True
83174,CEN12CA193,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83174/pdf,3/17/2012,Branson,Missouri,United States,36.625831,-93.229164,0,0,Non-Fatal,non-fatal,False
83571,CEN12CA279,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83571/pdf,5/5/2012,Hallsville,Missouri,United States,39.185554,-92.462776,0,0,Non-Fatal,non-fatal,False
83629,CEN12CA293,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83629/pdf,4/9/2012,Lee's Summit,Missouri,United States,38.959445,-94.371109,0,0,Non-Fatal,non-fatal,False
83914,CEN12LA353,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83914/pdf,5/26/2012,Chesterfield,Missouri,United States,38.662223,-90.651947,0,0,Non-Fatal,non-fatal,False
83938,CEN12LA362,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83938/pdf,6/12/2012,Mt. Vernon,Missouri,United States,36.957221,-93.690551,0,1,Non-Fatal,non-fatal,False
83940,CEN12CA361,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83940/pdf,6/10/2012,Moscow Mills,Missouri,United States,38.901668,-90.960281,0,0,Non-Fatal,non-fatal,False
