MKey,NTSBNumber,Report,EventDate,City,StateOrRegion,Country,Latitude,Longitude,FatalInjuries,SeriousInjuries,InjuryLevel,InjuryCategory,IsFatal
82814,WPR12LA092,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/82814/pdf,2/4/2012,Kalispell,Montana,United States,48.178611,-114.303611,0,0,Non-Fatal,non-fatal,False
82928,WPR12LA111,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/82928/pdf,2/20/2012,Kalispell,Montana,United States,48.310554,-114.256111,0,0,Non-Fatal,non-fatal,False
83042,WPR12FA123,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83042/pdf,3/5/2012,Brockton,Montana,United States,47.989723,-104.71833,1,1,Fatal,fatal,True
83205,WPR12CA145,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83205/pdf,3/23/2012,Conrad,Montana,United States,48.168056,-111.976387,0,0,Non-Fatal,non-fatal,False
83659,WPR12CA209,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83659/pdf,6/8/2012,Sula,Montana,United States,45.716945,-113.920555,0,0,Non-Fatal,non-fatal,False
83676,WPR12CA213,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83676/pdf,5/17/2012,Darby,Montana,United States,45.988334,-114.167221,0,0,Non-Fatal,non-fatal,False
83991,WPR12CA266,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83991/pdf,6/16/2012,Meadow Creek,Montana,United States,47.849166,-113.417221,0,0,Non-Fatal,non-fatal,False
84154,WPR12CA284,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/84154/pdf,7/2/2012,West Glacier,Montana,United States,48.479442,-113.959999,0,0,Non-Fatal,non-fatal,False
84197,WPR12CA293,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/84197/pdf,7/4/2012,Stevensville,Montana,United States,46.525001,-114.05278,0,0,Non-Fatal,non-fatal,False
84398,WPR12LA317,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/84398/pdf,7/21/2012,Bridger,Montana,United States,45.291389,-108.925552,0,1,Non-Fatal,non-fatal,False
84619,WPR12LA348,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/84619/pdf,8/8/2012,Ronan,Montana,United States,47.566944,-114.10083,0,0,Non-Fatal,non-fatal,False
84752,WPR12TA364,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/84752/pdf,8/18/2012,Sunburst,Montana,United States,48.885833,-111.89611,0,0,Non-Fatal,non-fatal,False
85376,WPR13CA018,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/85376/pdf,10/18/2012,Twin Bridges,Montana,United States,45.533611,-112.302497,0,0,Non-Fatal,non-fatal,False
85756,WPR13LA063,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/85756/pdf,12/2/2012,Billings,Montana,United States,45.807498,-108.542778,0,0,Non-Fatal,non-fatal,False
85821,WPR13LA069,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/85821/pdf,12/14/2012,Dell,Montana,United States,44.70222,-113.050834,0,1,Non-Fatal,non-fatal,False
85852,WPR13FA073,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/85852/pdf,12/19/2012,Libby,Montana,United States,48.320556,-115.475555,2,0,Fatal,fatal,True
86165,WPR13CA117,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/86165/pdf,2/6/2013,Sunburst,Montana,United States,48.886665,-111.921669,0,0,Non-Fatal,non-fatal,False
86582,WPR13LA178,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/86582/pdf,4/2/2013,Darby,Montana,United States,45.932498,-114.120552,0,1,Non-Fatal,non-fatal,False
86599,WPR13FA183,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/86599/pdf,4/6/2013,Circle,Montana,United States,47.738609,-105.928054,1,0,Fatal,fatal,True
86704,WPR13TA205,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/86704/pdf,4/25/2013,Big Fork,Montana,United States,48.153057,-113.923889,0,0,Non-Fatal,non-fatal,False
86743,WPR13FA208,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/86743/pdf,4/27/2013,Shepherd,Montana,United States,46.088611,-108.246391,1,0,Fatal,fatal,True
86791,WPR13CA213,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/86791/pdf,7/2/2013,Fort Smith,Montana,United States,45.302501,-108.136947,0,1,Non-Fatal,non-fatal,False
87040,WPR13CA253,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/87040/pdf,5/1/2013,Hamilton,Montana,United States,46.251388,-114.125556,0,0,Non-Fatal,non-fatal,False
87286,WPR13FA288,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/87286/pdf,6/24/2013,Helena,Montana,United States,46.747776,-112.003051,1,0,Fatal,fatal,True
87347,WPR13LA302,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/87347/pdf,7/1/2013,Hamilton,Montana,United States,46.248332,-113.860832,0,0,Non-Fatal,non-fatal,False
