MKey,NTSBNumber,Report,EventDate,City,StateOrRegion,Country,Latitude,Longitude,FatalInjuries,SeriousInjuries,InjuryLevel,InjuryCategory,IsFatal
82856,ERA12FA175,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/82856/pdf,2/9/2012,Lebanon,New Hampshire,United States,43.616111,-72.31639,1,0,Fatal,fatal,True
83617,ERA12LA332,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83617/pdf,5/13/2012,West Ossipee,New Hampshire,United States,43.830554,-71.186943,0,1,Non-Fatal,non-fatal,False
85430,ERA13FA039,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/85430/pdf,10/25/2012,Hooksett,New Hampshire,United States,43.041389,-71.468887,2,0,Fatal,fatal,True
85440,ERA13CA040,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/85440/pdf,10/24/2012,Hampton,New Hampshire,United States,42.9575,-70.82389,0,0,Non-Fatal,non-fatal,False
87079,ERA13CA265,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/87079/pdf,5/31/2013,Concord,New Hampshire,United States,43.202777,-71.50222,0,0,Non-Fatal,non-fatal,False
87104,ERA13CA271,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/87104/pdf,6/5/2013,Concord,New Hampshire,United States,43.202777,-71.50222,0,0,Non-Fatal,non-fatal,False
87519,ERA13LA327,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/87519/pdf,7/17/2013,Tuftonboro,New Hampshire,United States,43.451957,-71.563491,0,0,Non-Fatal,non-fatal,False
87686,ERA13CA350,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/87686/pdf,8/2/2013,Portsmouth,New Hampshire,United States,43.077777,-70.823059,0,0,Non-Fatal,non-fatal,False
88044,ERA13CA416,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/88044/pdf,8/30/2013,Rumney,New Hampshire,United States,43.867778,-71.798332,0,0,Non-Fatal,non-fatal,False
88388,ERA14CA037,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/88388/pdf,10/14/2013,Newport,New Hampshire,United States,43.393611,-72.197219,0,0,Non-Fatal,non-fatal,False
89053,ERA14CA195,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/89053/pdf,4/10/2014,Colebrook,New Hampshire,United States,44.885833,-71.504447,0,0,Non-Fatal,non-fatal,False
89085,ERA14CA203,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/89085/pdf,4/20/2014,Concord,New Hampshire,United States,43.201389,-71.501388,0,0,Non-Fatal,non-fatal,False
89122,ERA14CA209,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/89122/pdf,4/22/2014,Gilford,New Hampshire,United States,43.529415,-71.379646,0,0,Non-Fatal,non-fatal,False
89994,ERA14FA417,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/89994/pdf,9/1/2014,North Hampton,New Hampshire,United States,42.962776,-70.83139,2,0,Fatal,fatal,True
90468,ERA15LA072,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/90468/pdf,12/5/2014,Brookline,New Hampshire,United States,42.734722,-71.692779,0,0,Non-Fatal,non-fatal,False
90520,ERA15CA079,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/90520/pdf,12/22/2014,Henniker,New Hampshire,United States,43.180557,-71.833335,0,0,Non-Fatal,non-fatal,False
90645,ERA15CA113,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/90645/pdf,1/23/2015,Nashua,New Hampshire,United States,42.781387,-71.514167,0,0,Non-Fatal,non-fatal,False
91366,ERA15LA237,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/91366/pdf,6/14/2015,Hampton,New Hampshire,United States,42.968334,-70.82833,0,2,Non-Fatal,non-fatal,False
91388,ERA15FA241,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/91388/pdf,6/18/2015,Laconia,New Hampshire,United States,43.0,-71.0,0,1,Non-Fatal,non-fatal,False
91407,GAA15CA127,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/91407/pdf,6/20/2015,Concord,New Hampshire,United States,43.204166,-71.504997,0,0,Non-Fatal,non-fatal,False
91927,ERA15LA339,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/91927/pdf,9/5/2015,Laconia,New Hampshire,United States,43.606388,-71.452774,1,0,Fatal,fatal,True
92189,GAA16CA016,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/92189/pdf,10/14/2015,Jackson,New Hampshire,United States,44.211944,-71.254165,0,0,Non-Fatal,non-fatal,False
93091,ERA16LA174,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/93091/pdf,4/30/2016,Keene,New Hampshire,United States,42.898334,-72.270835,0,0,Non-Fatal,non-fatal,False
93149,GAA16CA230,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/93149/pdf,5/11/2016,Keene,New Hampshire,United States,42.898334,-72.270835,0,0,Non-Fatal,non-fatal,False
93275,ERA16CA197,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/93275/pdf,5/29/2016,Warner,New Hampshire,United States,43.253612,-71.86444,0,1,Non-Fatal,non-fatal,False
93410,ERA16LA220,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/93410/pdf,6/16/2016,Gorham,New Hampshire,United States,44.395,-71.204444,0,0,Non-Fatal,non-fatal,False
93589,GAA16CA370,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/93589/pdf,7/6/2016,New Durham,New Hampshire,United States,43.485279,-71.166114,0,0,Non-Fatal,non-fatal,False
93614,GAA16CA377,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/93614/pdf,7/7/2016,Keene,New Hampshire,United States,42.898334,-72.270835,0,0,Non-Fatal,non-fatal,False
93783,ERA16LA284,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/93783/pdf,8/6/2016,Northwood,New Hampshire,United States,43.205276,-71.229446,0,1,Non-Fatal,non-fatal,False
93844,GAA16CA432,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/93844/pdf,8/15/2016,North Conway,New Hampshire,United States,44.034721,-71.126388,0,0,Non-Fatal,non-fatal,False
94096,ERA16LA330,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/94096/pdf,9/27/2016,Andover,New Hampshire,United States,43.420833,-71.780555,0,1,Non-Fatal,non-fatal,False
94147,GAA17CA005,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/94147/pdf,10/3/2016,Concord,New Hampshire,United States,43.201667,-71.50389,0,0,Non-Fatal,non-fatal,False
94321,GAA17CA052,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/94321/pdf,10/4/2016,Portsmouth,New Hampshire,United States,43.778057,-71.75389,0,0,Non-Fatal,non-fatal,False
