MKey,NTSBNumber,Report,EventDate,City,StateOrRegion,Country,Latitude,Longitude,FatalInjuries,SeriousInjuries,InjuryLevel,InjuryCategory,IsFatal
82918,ERA12LA184,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/82918/pdf,2/17/2012,Fayetteville,North Carolina,United States,34.985,-78.889442,0,1,Non-Fatal,non-fatal,False
83026,ERA12FA205,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83026/pdf,3/2/2012,Salisburry,North Carolina,United States,35.636943,-80.290832,2,0,Fatal,fatal,True
83058,ERA12CA215,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83058/pdf,3/6/2012,Mooresville,North Carolina,United States,35.608333,-80.738052,0,0,Non-Fatal,non-fatal,False
83139,ERA12FA225,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83139/pdf,3/15/2012,Franklin,North Carolina,United States,35.220554,-83.425552,5,0,Fatal,fatal,True
83226,ERA12FA256,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83226/pdf,3/26/2012,Waxhaw,North Carolina,United States,34.863609,-80.745277,1,0,Fatal,fatal,True
83505,ERA12LA309,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83505/pdf,4/29/2012,Pilot Mountain,North Carolina,United States,36.407775,-80.521942,0,0,Non-Fatal,non-fatal,False
83507,ERA12CA310,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83507/pdf,4/29/2012,Burlington,North Carolina,United States,36.042499,-79.471664,0,0,Non-Fatal,non-fatal,False
83634,ERA12LA336,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83634/pdf,5/12/2012,Erwin,North Carolina,United States,35.380001,-78.732223,0,0,Non-Fatal,non-fatal,False
83702,ERA12CA344,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83702/pdf,5/19/2012,Winterville,North Carolina,United States,35.482776,-77.353332,0,0,Non-Fatal,non-fatal,False
83744,ERA12LA362,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83744/pdf,5/24/2012,Asheville,North Carolina,United States,35.436111,-82.541946,0,0,Non-Fatal,non-fatal,False
83791,ERA12CA371,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83791/pdf,5/20/2012,Lincolnton,North Carolina,United States,35.470832,-81.252777,0,0,Non-Fatal,non-fatal,False
83827,ERA12CA378,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83827/pdf,5/28/2012,Mocksville,North Carolina,United States,36.019165,-80.509719,0,0,Non-Fatal,non-fatal,False
83992,ERA12LA399,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83992/pdf,6/14/2012,Oak Island,North Carolina,United States,33.893333,-78.081665,0,0,Non-Fatal,non-fatal,False
84065,ERA12FA412,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/84065/pdf,6/25/2012,Gold Hill,North Carolina,United States,39.229022,-77.269111,1,0,Fatal,fatal,True
84366,ERA12CA464,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/84366/pdf,7/16/2012,Brevard,North Carolina,United States,35.26889,-82.639724,0,0,Non-Fatal,non-fatal,False
84528,ERA12LA489,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/84528/pdf,7/28/2012,Fayetteville,North Carolina,United States,34.988056,-78.874725,0,0,Non-Fatal,non-fatal,False
84736,ERA12CA517,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/84736/pdf,8/17/2012,Gum Neck,North Carolina,United States,34.809444,-76.185554,0,0,Non-Fatal,non-fatal,False
84746,ERA12CA519,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/84746/pdf,8/18/2012,Raeford,North Carolina,United States,35.019721,-79.188056,0,0,Non-Fatal,non-fatal,False
84924,ERA12LA545,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/84924/pdf,9/1/2012,East Bend,North Carolina,United States,36.141944,-80.531944,0,0,Non-Fatal,non-fatal,False
84999,ERA12CA558,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/84999/pdf,8/22/2012,Burlington,North Carolina,United States,36.04861,-79.474723,0,0,Non-Fatal,non-fatal,False
85168,ERA12LA584,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/85168/pdf,9/30/2012,Granite Quarry,North Carolina,United States,35.6175,-80.443885,1,0,Fatal,fatal,True
85399,ERA13LA037,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/85399/pdf,10/20/2012,Indian Trail,North Carolina,United States,35.120834,-80.587219,0,0,Non-Fatal,non-fatal,False
85721,ERA13LA072,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/85721/pdf,12/1/2012,Carthage,North Carolina,United States,35.341667,-79.436943,0,2,Non-Fatal,non-fatal,False
85737,ERA13LA075,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/85737/pdf,12/2/2012,Albemarle,North Carolina,United States,35.416667,-80.150558,0,1,Non-Fatal,non-fatal,False
85823,ERA13FA088,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/85823/pdf,12/16/2012,Parkton,North Carolina,United States,34.872776,-78.952224,1,0,Fatal,fatal,True
85866,ERA13LA095,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/85866/pdf,12/20/2012,Indian Trail,North Carolina,United States,35.119167,-80.585556,0,0,Non-Fatal,non-fatal,False
86016,ERA13LA113,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/86016/pdf,1/13/2013,Manteo,North Carolina,United States,35.901111,-75.701385,1,0,Fatal,fatal,True
86029,ERA13FA115,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/86029/pdf,1/16/2013,Burlington,North Carolina,United States,36.113609,-79.420555,1,0,Fatal,fatal,True
86167,ERA13LA129,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/86167/pdf,2/7/2013,Winston-Salem,North Carolina,United States,36.133609,-80.221946,0,0,Non-Fatal,non-fatal,False
86282,ERA13CA141,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/86282/pdf,2/20/2013,Halifax,North Carolina,United States,36.329723,-77.635276,0,0,Non-Fatal,non-fatal,False
86310,ERA13LA148,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/86310/pdf,2/27/2013,Sanford,North Carolina,United States,35.5825,-79.101387,0,0,Non-Fatal,non-fatal,False
86423,ERA13LA167,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/86423/pdf,3/14/2013,Mount Airy,North Carolina,United States,36.45972,-80.55278,0,1,Non-Fatal,non-fatal,False
86434,ERA13CA170,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/86434/pdf,3/15/2013,Hendersonville,North Carolina,United States,35.516666,-82.716667,0,0,Non-Fatal,non-fatal,False
86551,ERA13FA184,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/86551/pdf,3/31/2013,Winston-Salem,North Carolina,United States,36.116664,-80.286109,2,0,Fatal,fatal,True
86625,ERA13CA195,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/86625/pdf,4/6/2013,Foscoe,North Carolina,United States,35.969444,-81.818611,0,0,Non-Fatal,non-fatal,False
86630,ERA13LA197,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/86630/pdf,4/7/2013,Winston Salem,North Carolina,United States,36.134998,-80.219718,0,0,Non-Fatal,non-fatal,False
86668,ERA13CA206,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/86668/pdf,4/17/2013,Salisbury,North Carolina,United States,35.640834,-80.51889,0,0,Non-Fatal,non-fatal,False
86855,ERA13CA234,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/86855/pdf,5/9/2013,Selma,North Carolina,United States,35.567501,-78.283332,0,0,Non-Fatal,non-fatal,False
86856,ERA13CA235,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/86856/pdf,5/9/2013,Jacksonville,North Carolina,United States,34.829166,-77.61222,0,0,Non-Fatal,non-fatal,False
86865,ERA13LA238,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/86865/pdf,5/11/2013,Windsor,North Carolina,United States,36.058055,-76.863891,0,0,Non-Fatal,non-fatal,False
86902,ERA13CA244,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/86902/pdf,5/12/2013,Roxboro,North Carolina,United States,36.284442,-78.984443,0,0,Non-Fatal,non-fatal,False
86916,ERA13CA245,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/86916/pdf,5/14/2013,Yadkinville,North Carolina,United States,36.051387,-80.533332,0,0,Non-Fatal,non-fatal,False
86942,ERA13CA246,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/86942/pdf,5/14/2013,Oxford,North Carolina,United States,35.361389,-78.529167,0,0,Non-Fatal,non-fatal,False
87051,ERA13LA262,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/87051/pdf,5/30/2013,Brevard,North Carolina,United States,35.222499,-82.726669,0,0,Non-Fatal,non-fatal,False
87114,ERA13CA272,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/87114/pdf,5/12/2013,Henderson,North Carolina,United States,36.245277,-78.308891,0,0,Non-Fatal,non-fatal,False
87187,ERA13LA285,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/87187/pdf,6/13/2013,Oxford,North Carolina,United States,36.361667,-78.529167,0,0,Non-Fatal,non-fatal,False
87427,ERA13LA318,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/87427/pdf,7/8/2013,Beaufort,North Carolina,United States,34.716667,-76.650001,0,0,Non-Fatal,non-fatal,False
87803,ERA13LA364,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/87803/pdf,8/16/2013,Indian Trail,North Carolina,United States,35.108612,-80.623054,0,0,Non-Fatal,non-fatal,False
87948,ERA13CA393,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/87948/pdf,8/30/2013,Apex,North Carolina,United States,35.738056,-78.920829,0,0,Non-Fatal,non-fatal,False
