MKey,NTSBNumber,Report,EventDate,City,StateOrRegion,Country,Latitude,Longitude,FatalInjuries,SeriousInjuries,InjuryLevel,InjuryCategory,IsFatal
83858,CEN12LA336,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83858/pdf,6/4/2012,Zahl,North Dakota,United States,48.560932,-103.680755,1,0,Fatal,fatal,True
83881,CEN12LA344,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83881/pdf,6/4/2012,Kenmare,North Dakota,United States,48.667499,-102.0475,0,0,Non-Fatal,non-fatal,False
84262,CEN12CA426,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/84262/pdf,7/10/2012,Grand Forks,North Dakota,United States,47.949443,-97.176109,0,0,Non-Fatal,non-fatal,False
84273,CEN12CA430,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/84273/pdf,7/9/2012,Williston,North Dakota,United States,48.039165,-102.339721,0,0,Non-Fatal,non-fatal,False
84291,CEN12LA437,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/84291/pdf,7/12/2012,Mott,North Dakota,United States,46.359722,-102.323059,0,0,Non-Fatal,non-fatal,False
84324,CEN12LA444,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/84324/pdf,7/14/2012,Grand Forks,North Dakota,United States,47.947223,-97.173889,0,0,Non-Fatal,non-fatal,False
84370,CEN12LA458,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/84370/pdf,7/7/2012,Egeland,North Dakota,United States,48.626388,-99.097221,0,0,Non-Fatal,non-fatal,False
84572,CEN12LA516,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/84572/pdf,8/1/2012,Grand Forks,North Dakota,United States,47.947223,-97.173614,0,0,Non-Fatal,non-fatal,False
84663,CEN12CA542,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/84663/pdf,8/7/2012,Harvey,North Dakota,United States,47.693611,-99.961944,0,0,Non-Fatal,non-fatal,False
84853,CEN12LA587,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/84853/pdf,8/28/2012,Rolla,North Dakota,United States,48.883888,-99.618888,0,0,Non-Fatal,non-fatal,False
84969,CEN12LA615,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/84969/pdf,9/7/2012,Valley City,North Dakota,United States,46.941112,-98.018058,1,0,Fatal,fatal,True
87182,CEN13CA345,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/87182/pdf,6/7/2013,Minot,North Dakota,United States,48.415554,-101.35778,0,0,Non-Fatal,non-fatal,False
87188,CEN13LA348,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/87188/pdf,6/13/2013,Grand Forks,North Dakota,United States,47.947223,-97.173889,0,1,Non-Fatal,non-fatal,False
87217,CEN13LA353,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/87217/pdf,6/16/2013,Minot,North Dakota,United States,48.390277,-101.499443,0,1,Non-Fatal,non-fatal,False
88503,CEN14LA074,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/88503/pdf,11/30/2013,Rock Lake,North Dakota,United States,48.52,-99.120002,0,3,Non-Fatal,non-fatal,False
