MKey,NTSBNumber,Report,EventDate,City,StateOrRegion,Country,Latitude,Longitude,FatalInjuries,SeriousInjuries,InjuryLevel,InjuryCategory,IsFatal
83136,WPR12FA136,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83136/pdf,3/14/2012,Goble,Oregon,United States,46.025276,-122.92028,2,0,Fatal,fatal,True
83320,WPR12CA158,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83320/pdf,4/6/2012,Redmond,Oregon,United States,44.253887,-121.149719,0,0,Non-Fatal,non-fatal,False
83435,WPR12FA180,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83435/pdf,4/23/2012,Sisters,Oregon,United States,44.217777,-121.505279,2,0,Fatal,fatal,True
83451,WPR12LA178,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83451/pdf,4/21/2012,Pendleton,Oregon,United States,45.694999,-118.258056,0,1,Non-Fatal,non-fatal,False
83464,WPR12LA181,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83464/pdf,4/22/2012,Monmouth,Oregon,United States,44.841945,-123.255554,0,0,Non-Fatal,non-fatal,False
83542,WPR12FA193,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83542/pdf,4/27/2012,Eugene,Oregon,United States,44.121387,-123.207221,0,0,Non-Fatal,non-fatal,False
83643,WPR12CA206,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83643/pdf,5/14/2012,Molalla,Oregon,United States,45.14611,-122.6175,0,0,Non-Fatal,non-fatal,False
83674,WPR12LA212,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83674/pdf,5/13/2012,Hillsboro,Oregon,United States,45.540554,-122.949996,0,0,Non-Fatal,non-fatal,False
83807,WPR12FA237,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83807/pdf,5/24/2012,Lakeview,Oregon,United States,42.526111,-119.73944,1,0,Fatal,fatal,True
83897,WPR12CA251,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83897/pdf,6/8/2012,Bend,Oregon,United States,44.094444,-121.200279,0,0,Non-Fatal,non-fatal,False
