MKey,NTSBNumber,Report,EventDate,City,StateOrRegion,Country,Latitude,Longitude,FatalInjuries,SeriousInjuries,InjuryLevel,InjuryCategory,IsFatal
82760,ERA12FA163,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/82760/pdf,1/29/2012,Thomasville,Pennsylvania,United States,39.925277,-76.876388,1,0,Fatal,fatal,True
83199,ERA12LA246,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83199/pdf,3/23/2012,Beaver Falls,Pennsylvania,United States,40.772499,-80.391387,0,1,Non-Fatal,non-fatal,False
83200,ERA12CA247,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83200/pdf,3/23/2012,Butler,Pennsylvania,United States,40.77639,-79.95111,0,0,Non-Fatal,non-fatal,False
83281,ERA12CA266,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83281/pdf,4/2/2012,Philadelphia,Pennsylvania,United States,39.869998,-75.237777,0,0,Non-Fatal,non-fatal,False
83296,ERA12CA269,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83296/pdf,4/3/2012,Pittsburgh,Pennsylvania,United States,40.601943,-79.822219,0,0,Non-Fatal,non-fatal,False
83313,ERA12CA270,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83313/pdf,4/5/2012,Pottstown,Pennsylvania,United States,40.236946,-75.553886,0,0,Non-Fatal,non-fatal,False
83351,DCA12CA059,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83351/pdf,3/3/2012,HARRISBURG,Pennsylvania,United States,40.233333,-76.966667,0,1,Non-Fatal,non-fatal,False
83479,ERA12CA302,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83479/pdf,4/25/2012,Lancaster,Pennsylvania,United States,40.122222,-76.294166,0,0,Non-Fatal,non-fatal,False
83492,ERA12CA304,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83492/pdf,4/27/2012,Hershey,Pennsylvania,United States,40.204723,-76.569442,0,1,Non-Fatal,non-fatal,False
83559,ERA12FA319,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83559/pdf,5/5/2012,Honesdale,Pennsylvania,United States,41.513332,-75.25,1,0,Fatal,fatal,True
83594,ERA12FA327,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83594/pdf,5/9/2012,Sterling,Pennsylvania,United States,41.34,-75.421112,2,1,Fatal,fatal,True
83624,ERA12LA335,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83624/pdf,5/13/2012,South Canaan,Pennsylvania,United States,41.499721,-75.408332,0,0,Non-Fatal,non-fatal,False
83698,ERA12LA343,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83698/pdf,5/18/2012,Tipton,Pennsylvania,United States,40.630554,-78.300277,0,0,Non-Fatal,non-fatal,False
83722,ERA12CA352,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83722/pdf,5/18/2012,Duncansville,Pennsylvania,United States,40.401111,-78.516387,0,1,Non-Fatal,non-fatal,False
83736,ERA12CA357,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83736/pdf,5/19/2012,Pittsfield,Pennsylvania,United States,41.826389,-79.361389,0,0,Non-Fatal,non-fatal,False
83806,ERA12LA373,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83806/pdf,5/30/2012,Smoketown,Pennsylvania,United States,40.04,-76.201667,0,0,Non-Fatal,non-fatal,False
83873,ERA12CA384,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83873/pdf,6/5/2012,Waynesburg,Pennsylvania,United States,39.901111,-80.130554,0,0,Non-Fatal,non-fatal,False
