MKey,NTSBNumber,Report,EventDate,City,StateOrRegion,Country,Latitude,Longitude,FatalInjuries,SeriousInjuries,InjuryLevel,InjuryCategory,IsFatal
82913,CEN12CA159,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/82913/pdf,2/8/2012,Tea,South Dakota,United States,43.454166,-94.802223,0,0,Non-Fatal,non-fatal,False
83004,CEN12LA175,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83004/pdf,2/24/2012,Rapid City,South Dakota,United States,44.038055,-102.82611,0,0,Non-Fatal,non-fatal,False
83307,CEN12LA230,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83307/pdf,4/5/2012,Isabel,South Dakota,United States,45.267223,-101.38639,0,1,Non-Fatal,non-fatal,False
83384,CEN12LA242,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83384/pdf,4/14/2012,Aberdeen,South Dakota,United States,45.466667,-98.476387,0,0,Non-Fatal,non-fatal,False
83584,CEN12LA283,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83584/pdf,4/24/2012,Sioux Falls,South Dakota,United States,43.581943,-96.741943,0,0,Non-Fatal,non-fatal,False
83738,CEN12CA313,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83738/pdf,5/23/2012,Clear Lake,South Dakota,United States,44.797222,-96.632225,0,1,Non-Fatal,non-fatal,False
83889,CEN12LA346,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83889/pdf,6/7/2012,Clark,South Dakota,United States,44.895,-97.710556,0,0,Non-Fatal,non-fatal,False
83928,CEN12LA357,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83928/pdf,5/23/2012,Howard,South Dakota,United States,44.029167,-97.53778,0,0,Non-Fatal,non-fatal,False
84006,CEN12CA375,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/84006/pdf,6/15/2012,Ipswich,South Dakota,United States,45.451946,-99.010002,0,0,Non-Fatal,non-fatal,False
84732,CEN12LA557,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/84732/pdf,8/14/2012,Flandreau,South Dakota,United States,44.04861,-96.714996,0,0,Non-Fatal,non-fatal,False
84829,CEN12FA579,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/84829/pdf,8/28/2012,Pierre,South Dakota,United States,44.37611,-100.284721,1,0,Fatal,fatal,True
84833,CEN12LA580,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/84833/pdf,8/25/2012,Spearfish,South Dakota,United States,44.818889,-103.988609,0,0,Non-Fatal,non-fatal,False
85040,CEN12LA634,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/85040/pdf,9/14/2012,Vermillion,South Dakota,United States,42.773887,-96.948333,1,0,Fatal,fatal,True
85149,CEN12CA658,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/85149/pdf,9/25/2012,Spearfish,South Dakota,United States,44.486946,-104.025558,0,0,Non-Fatal,non-fatal,False
85841,CEN13CA108,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/85841/pdf,12/11/2012,Okaton,South Dakota,United States,43.886112,-100.891944,0,0,Non-Fatal,non-fatal,False
86597,CEN13LA220,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/86597/pdf,4/4/2013,Spearfish,South Dakota,United States,44.480667,-103.839797,0,0,Non-Fatal,non-fatal,False
86659,CEN13LA228,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/86659/pdf,4/13/2013,Buffalo,South Dakota,United States,45.795555,-103.43,0,0,Non-Fatal,non-fatal,False
87118,CEN13FA324,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/87118/pdf,6/6/2013,Ludlow,South Dakota,United States,45.844722,-103.149444,1,0,Fatal,fatal,True
87268,CEN13LA367,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/87268/pdf,6/20/2013,De Smet,South Dakota,United States,44.385833,-97.551666,0,0,Non-Fatal,non-fatal,False
87313,CEN13LA375,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/87313/pdf,6/26/2013,Colome,South Dakota,United States,43.376667,-99.858886,0,0,Non-Fatal,non-fatal,False
87382,CEN13LA391,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/87382/pdf,7/2/2013,Ipswich,South Dakota,United States,45.455554,-99.010559,0,0,Non-Fatal,non-fatal,False
87559,CEN13LA431,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/87559/pdf,7/23/2013,Gary,South Dakota,United States,44.793056,-96.457496,0,0,Non-Fatal,non-fatal,False
87759,CEN13CA481,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/87759/pdf,8/10/2013,Humboldt,South Dakota,United States,43.628334,-97.073333,0,0,Non-Fatal,non-fatal,False
89131,CEN14FA224,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/89131/pdf,4/27/2014,Highmore,South Dakota,United States,44.369167,-99.463058,4,0,Fatal,fatal,True
89216,CEN14CA242,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/89216/pdf,4/19/2014,Huron,South Dakota,United States,44.315834,-98.27333,0,0,Non-Fatal,non-fatal,False
89413,CEN14LA284,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/89413/pdf,6/10/2014,Winner,South Dakota,United States,43.390277,-99.842224,0,0,Non-Fatal,non-fatal,False
89530,CEN14CA317,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/89530/pdf,6/19/2014,Watertown,South Dakota,United States,44.48611,-97.17028,0,1,Non-Fatal,non-fatal,False
89752,CEN14CA392,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/89752/pdf,7/25/2014,Caputa,South Dakota,United States,43.977222,-102.981666,0,0,Non-Fatal,non-fatal,False
90197,CEN15CA001,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/90197/pdf,10/1/2014,Yankton,South Dakota,United States,42.946945,-97.440002,0,0,Non-Fatal,non-fatal,False
90228,CEN15CA006,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/90228/pdf,10/7/2014,Glenham,South Dakota,United States,45.516109,-100.271385,0,0,Non-Fatal,non-fatal,False
90812,CEN15CA160,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/90812/pdf,2/27/2015,Marion,South Dakota,United States,43.484443,-97.241668,0,1,Non-Fatal,non-fatal,False
91268,GAA15CA097,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/91268/pdf,5/28/2015,Fort Pierre,South Dakota,United States,44.493888,-100.746109,0,0,Non-Fatal,non-fatal,False
91331,CEN15FA264,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/91331/pdf,6/8/2015,Kadoka,South Dakota,United States,43.833332,-101.497222,1,0,Fatal,fatal,True
91350,GAA15CA117,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/91350/pdf,6/9/2015,Wall,South Dakota,United States,44.106666,-102.348052,0,0,Non-Fatal,non-fatal,False
91612,GAA15CA196,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/91612/pdf,7/1/2015,Forest City,South Dakota,United States,45.000278,-100.280281,0,0,Non-Fatal,non-fatal,False
91942,GAA15CA251,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/91942/pdf,9/4/2015,Fort Pierre,South Dakota,United States,44.376667,-100.631385,0,0,Non-Fatal,non-fatal,False
92131,CEN16LA006,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/92131/pdf,10/5/2015,Parkston,South Dakota,United States,43.383335,-97.981666,0,2,Non-Fatal,non-fatal,False
92206,GAA16CA022,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/92206/pdf,10/19/2015,Sioux Falls,South Dakota,United States,43.576667,-96.735557,0,0,Non-Fatal,non-fatal,False
92726,GAA16LA128,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/92726/pdf,2/12/2016,Sturgis,South Dakota,United States,44.424167,-103.385002,0,1,Non-Fatal,non-fatal,False
