MKey,NTSBNumber,Report,EventDate,City,StateOrRegion,Country,Latitude,Longitude,FatalInjuries,SeriousInjuries,InjuryLevel,InjuryCategory,IsFatal
82665,ERA12WA142,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/82665/pdf,1/7/2012,Andros Island,Unknown,Bahamas,24.43,-78.199996,0,0,Non-Fatal,non-fatal,False
82877,DCA12RA037,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/82877/pdf,2/12/2012,Bukavu,Unknown,Congo,-2.305277,28.805276,4,0,Fatal,fatal,True
83016,CEN12WA178,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83016/pdf,2/25/2012,"Torreon, Coahuila, Mexico",Unknown,Mexico,25.559444,-103.402778,1,0,Fatal,fatal,True
83019,DCA12RA047,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83019/pdf,3/1/2012,Egelsbach,Unknown,Germany,49.961112,-8.64361,5,0,Fatal,fatal,True
83167,CEN12CA191,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83167/pdf,3/12/2012,Southern Timbalier 52CA,Unknown,United States,28.944444,-90.182777,0,0,Non-Fatal,non-fatal,False
83218,ERA12WA255,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83218/pdf,3/25/2012,Treasure Cay,Unknown,Bahamas,26.745277,-77.391387,4,0,Fatal,fatal,True
83230,ERA12WA257,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83230/pdf,2/28/2012,Villa Canas,Unknown,Argentina,-34.818611,-61.523056,0,0,Non-Fatal,non-fatal,False
83291,ERA12LA268,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83291/pdf,4/3/2012,Caribbean Sea,Unknown,Unknown,12.733333,-69.849998,0,0,Non-Fatal,non-fatal,False
83434,ERA12LA290,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83434/pdf,4/19/2012,,Unknown,United States,27.716667,-85.216667,1,0,Fatal,fatal,True
83862,CEN12WA338,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83862/pdf,6/2/2012,Sinaloa,Unknown,Mexico,,,1,3,Fatal,fatal,True
84312,DCA12RA110,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/84312/pdf,7/13/2012,Le Castellet,Unknown,France,,,3,0,Fatal,fatal,True
84338,ERA12WA457,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/84338/pdf,7/16/2012,Nassau,Unknown,Bahamas,25.833333,-77.699996,2,0,Fatal,fatal,True
84464,WPR12WA327,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/84464/pdf,7/20/2012,Triso,Unknown,Malaysia,1.45,111.916664,3,0,Fatal,fatal,True
84508,WPR12WA335,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/84508/pdf,2/28/2012,"Auckland, New Zealand",Unknown,New Zealand,,,0,0,Non-Fatal,non-fatal,False
84606,CEN12WA528,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/84606/pdf,8/1/2012,"Kenora/Trout Lake, Ontario",Unknown,Canada,,,0,2,Non-Fatal,non-fatal,False
