MKey,NTSBNumber,Report,EventDate,City,StateOrRegion,Country,Latitude,Longitude,FatalInjuries,SeriousInjuries,InjuryLevel,InjuryCategory,IsFatal
82861,WPR12FA098,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/82861/pdf,2/9/2012,Morgan,Utah,United States,41.182498,-111.583053,2,0,Fatal,fatal,True
83233,WPR12LA147,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83233/pdf,3/21/2012,St. George,Utah,United States,36.73389,-113.540557,0,0,Non-Fatal,non-fatal,False
83453,WPR12CA179,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83453/pdf,4/22/2012,Delle,Utah,United States,40.775001,-112.794441,0,0,Non-Fatal,non-fatal,False
83477,WPR12FA184,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83477/pdf,4/25/2012,Blanding,Utah,United States,37.811943,-110.06639,3,0,Fatal,fatal,True
83524,WPR12LA190,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83524/pdf,5/1/2012,Elberta,Utah,United States,40.077499,-111.940834,0,1,Non-Fatal,non-fatal,False
83590,WPR12LA198,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83590/pdf,5/8/2012,Hanksville,Utah,United States,38.568611,-110.957221,0,0,Non-Fatal,non-fatal,False
83642,WPR12LA205,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83642/pdf,5/11/2012,Hurricane,Utah,United States,37.2,-113.320274,0,1,Non-Fatal,non-fatal,False
83677,WPR12LA214,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83677/pdf,5/17/2012,Cedar Fort,Utah,United States,40.357223,-112.017776,0,1,Non-Fatal,non-fatal,False
83678,WPR12CA215,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83678/pdf,5/6/2012,Brigham City,Utah,United States,41.554164,-112.062225,0,0,Non-Fatal,non-fatal,False
83759,WPR12FA230,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83759/pdf,5/26/2012,St. George,Utah,United States,37.02,-113.517219,4,0,Fatal,fatal,True
83787,WPR12FA235,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83787/pdf,5/29/2012,Duck Creek Village,Utah,United States,37.435001,-112.764999,4,0,Fatal,fatal,True
83831,WPR12GA243,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83831/pdf,6/3/2012,Modena,Utah,United States,38.114723,-114.037223,2,0,Fatal,fatal,True
84170,WPR12LA290,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/84170/pdf,6/24/2012,Heber City,Utah,United States,40.481666,-111.428611,0,0,Non-Fatal,non-fatal,False
84325,WPR12FA305,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/84325/pdf,7/14/2012,Salina,Utah,United States,38.819721,-111.43222,2,0,Fatal,fatal,True
84340,WPR12CA307,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/84340/pdf,7/16/2012,Bountiful,Utah,United States,40.869167,-111.893608,0,0,Non-Fatal,non-fatal,False
84629,WPR12CA351,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/84629/pdf,8/11/2012,Monticello,Utah,United States,37.888889,-109.42028,0,0,Non-Fatal,non-fatal,False
84718,WPR12LA362,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/84718/pdf,8/17/2012,Spanish Fork,Utah,United States,40.141387,-111.661109,0,1,Non-Fatal,non-fatal,False
84865,WPR12FA378,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/84865/pdf,8/30/2012,Nephi,Utah,United States,39.736389,-111.870002,2,0,Fatal,fatal,True
84936,WPR12CA397,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/84936/pdf,9/3/2012,Spanish Fork,Utah,United States,40.141666,-111.661392,0,0,Non-Fatal,non-fatal,False
84941,WPR12CA398,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/84941/pdf,9/5/2012,Eagle Mountain,Utah,United States,40.336944,-111.9925,0,0,Non-Fatal,non-fatal,False
84967,WPR12CA404,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/84967/pdf,9/7/2012,Spanish Fork,Utah,United States,40.141387,-111.661109,0,0,Non-Fatal,non-fatal,False
84992,WPR12LA413,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/84992/pdf,9/5/2012,Richfield,Utah,United States,38.736389,-112.098892,0,1,Non-Fatal,non-fatal,False
85172,WPR12CA440,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/85172/pdf,9/29/2012,Huntington,Utah,United States,39.36111,-110.916946,0,0,Non-Fatal,non-fatal,False
85599,WPR13FA041,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/85599/pdf,11/15/2012,Morgan,Utah,United States,41.175834,-111.721107,1,0,Fatal,fatal,True
85713,WPR13FA061,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/85713/pdf,11/25/2012,Aurora,Utah,United States,38.953887,-112.124443,3,0,Fatal,fatal,True
85819,WPR13CA068,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/85819/pdf,12/15/2012,Logan,Utah,United States,41.791389,-111.851669,0,0,Non-Fatal,non-fatal,False
86051,WPR13FA095,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/86051/pdf,1/19/2013,Boulder,Utah,United States,37.828334,-111.411109,2,0,Fatal,fatal,True
86122,WPR13LA108,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/86122/pdf,2/2/2013,Wellsville,Utah,United States,41.79111,-111.851387,0,0,Non-Fatal,non-fatal,False
86123,WPR13LA109,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/86123/pdf,2/1/2013,Bountiful,Utah,United States,40.869167,-111.92694,0,0,Non-Fatal,non-fatal,False
86404,WPR13LA147,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/86404/pdf,3/12/2013,Spanish Fork,Utah,United States,40.142501,-111.664169,0,0,Non-Fatal,non-fatal,False
86449,WPR13CA153,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/86449/pdf,3/18/2013,Bountiful,Utah,United States,40.871944,-111.927497,0,0,Non-Fatal,non-fatal,False
86540,WPR13CA170,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/86540/pdf,3/28/2013,Provo,Utah,United States,40.218055,-111.720558,0,0,Non-Fatal,non-fatal,False
86749,WPR13LA210,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/86749/pdf,4/28/2013,Bryce,Utah,United States,37.70639,-112.145835,0,0,Non-Fatal,non-fatal,False
87315,WPR13FA294,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/87315/pdf,6/27/2013,Birdseye,Utah,United States,39.907222,-111.54972,1,1,Fatal,fatal,True
87322,WPR13LA295,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/87322/pdf,6/27/2013,Fielding,Utah,United States,41.819396,-112.09909,0,0,Non-Fatal,non-fatal,False
87386,WPR13LA307,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/87386/pdf,7/3/2013,Hurricane,Utah,United States,37.1375,-113.303611,0,1,Non-Fatal,non-fatal,False
87419,WPR13LA315,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/87419/pdf,7/8/2013,Alta,Utah,United States,40.523612,-111.705276,0,0,Non-Fatal,non-fatal,False
87801,WPR13CA377,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/87801/pdf,8/4/2013,West Jordan,Utah,United States,40.619445,-111.992774,0,0,Non-Fatal,non-fatal,False
87995,WPR13FA399,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/87995/pdf,9/6/2013,Spanish Fork,Utah,United States,40.142501,-111.685279,1,0,Fatal,fatal,True
88104,WPR13CA418,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/88104/pdf,9/21/2013,Morgan,Utah,United States,41.010715,-111.670135,0,0,Non-Fatal,non-fatal,False
88142,WPR13CA425,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/88142/pdf,9/12/2013,Spanish Fork,Utah,United States,40.138889,-111.658607,0,0,Non-Fatal,non-fatal,False
88170,WPR14CA001,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/88170/pdf,10/1/2013,Mount Pleasant,Utah,United States,39.52639,-111.47583,0,0,Non-Fatal,non-fatal,False
88238,WPR14CA020,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/88238/pdf,10/17/2013,Milford,Utah,United States,38.380992,-112.929969,0,0,Non-Fatal,non-fatal,False
88316,WPR14LA036,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/88316/pdf,10/26/2013,Scipio,Utah,United States,39.058612,-112.042221,0,0,Non-Fatal,non-fatal,False
88471,WPR14CA057,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/88471/pdf,11/23/2013,Salt Lake City,Utah,United States,40.786388,-111.971664,0,0,Non-Fatal,non-fatal,False
88536,WPR14CA066,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/88536/pdf,12/6/2013,Monticello,Utah,United States,37.926109,-109.338058,0,0,Non-Fatal,non-fatal,False
88776,WPR14LA113,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/88776/pdf,2/5/2014,Bountiful,Utah,United States,40.877777,-111.821662,0,0,Non-Fatal,non-fatal,False
88830,WPR14LA118,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/88830/pdf,2/23/2014,Bountiful,Utah,United States,40.868057,-111.922775,0,0,Non-Fatal,non-fatal,False
88901,WPR14LA133,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/88901/pdf,3/8/2014,Salt Lake City,Utah,United States,40.619445,-111.992774,0,0,Non-Fatal,non-fatal,False
88947,WPR14LA142,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/88947/pdf,3/20/2014,Salt Lake City,Utah,United States,40.776943,-111.962219,0,0,Non-Fatal,non-fatal,False
