MKey,NTSBNumber,Report,EventDate,City,StateOrRegion,Country,Latitude,Longitude,FatalInjuries,SeriousInjuries,InjuryLevel,InjuryCategory,IsFatal
82939,ERA12LA188,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/82939/pdf,2/6/2012,Culpeper,Virginia,United States,38.525554,-77.859725,0,0,Non-Fatal,non-fatal,False
82953,ERA12LA191,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/82953/pdf,2/17/2012,Flat Rock,Virginia,United States,37.520278,-77.820274,0,0,Non-Fatal,non-fatal,False
83027,ERA12LA206,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83027/pdf,3/3/2012,Amisville,Virginia,United States,38.808334,-78.077224,0,2,Non-Fatal,non-fatal,False
83053,ERA12CA213,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83053/pdf,2/13/2012,Warrenton,Virginia,United States,38.586112,-77.710556,0,0,Non-Fatal,non-fatal,False
83408,ERA12CA288,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83408/pdf,4/17/2012,Abingdon,Virginia,United States,36.686943,-82.033058,0,0,Non-Fatal,non-fatal,False
83766,ERA12RA367,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83766/pdf,5/28/2012,Sumerduck,Virginia,United States,38.485832,-77.707221,2,1,Fatal,fatal,True
83852,ERA12LA380,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83852/pdf,6/2/2012,Monroe,Virginia,United States,37.537498,-79.267776,0,0,Non-Fatal,non-fatal,False
84018,ERA12CA402,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/84018/pdf,6/9/2012,Blairs,Virginia,United States,36.736667,-79.362503,0,0,Non-Fatal,non-fatal,False
84486,ERA12LA486,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/84486/pdf,7/27/2012,Blacksburg,Virginia,United States,37.207778,-80.407775,0,0,Non-Fatal,non-fatal,False
84587,ERA12CA496,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/84587/pdf,8/3/2012,Culpeper,Virginia,United States,38.521945,-77.855552,0,0,Non-Fatal,non-fatal,False
84790,ERA12FA526,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/84790/pdf,8/26/2012,Dayton,Virginia,United States,38.421112,-79.121109,1,0,Fatal,fatal,True
84792,ERA12FA527,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/84792/pdf,8/24/2012,Abingdon,Virginia,United States,36.594444,-82.018333,1,0,Fatal,fatal,True
85166,ERA12FA583,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/85166/pdf,9/29/2012,Fredericksburg,Virginia,United States,38.27111,-77.443054,2,0,Fatal,fatal,True
85261,ERA13CA008,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/85261/pdf,10/3/2012,Warrenton,Virginia,United States,38.584999,-77.70639,0,0,Non-Fatal,non-fatal,False
85392,ERA13CA035,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/85392/pdf,10/20/2012,Roseland,Virginia,United States,37.803333,-78.940277,0,0,Non-Fatal,non-fatal,False
85422,ERA13CA038,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/85422/pdf,10/20/2012,Weyers Cave,Virginia,United States,38.26361,-78.896385,0,0,Non-Fatal,non-fatal,False
85658,ERA13CA067,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/85658/pdf,11/23/2012,King George,Virginia,United States,38.325553,-77.257225,0,1,Non-Fatal,non-fatal,False
85830,ERA13CA090,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/85830/pdf,12/20/2012,Hot Springs,Virginia,United States,37.950832,-79.83361,0,0,Non-Fatal,non-fatal,False
85832,ERA13CA091,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/85832/pdf,12/15/2012,Newport News,Virginia,United States,37.131942,-76.493057,0,0,Non-Fatal,non-fatal,False
85834,ERA13CA092,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/85834/pdf,12/11/2012,Lynchburg,Virginia,United States,37.321945,-79.193054,0,0,Non-Fatal,non-fatal,False
86440,ERA13LA173,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/86440/pdf,3/17/2013,Stafford,Virginia,United States,38.369998,-77.43,0,2,Non-Fatal,non-fatal,False
86624,ERA13LA194,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/86624/pdf,4/7/2013,New Castle,Virginia,United States,37.483333,-80.099723,0,0,Non-Fatal,non-fatal,False
86676,ERA13FA209,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/86676/pdf,4/19/2013,Williamsburg,Virginia,United States,37.245555,-76.726943,2,0,Fatal,fatal,True
86805,ERA13FA227,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/86805/pdf,5/4/2013,Suffolk,Virginia,United States,36.693054,-76.61,2,0,Fatal,fatal,True
87042,ERA13LA258,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/87042/pdf,5/31/2013,Herndon,Virginia,United States,38.965,-77.415275,0,0,Non-Fatal,non-fatal,False
87524,ERA13LA328,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/87524/pdf,7/20/2013,Tappahannock,Virginia,United States,37.88639,-76.879447,0,0,Non-Fatal,non-fatal,False
87544,ERA13FA330,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/87544/pdf,7/22/2013,Fredericksburg,Virginia,United States,38.266109,-77.447776,1,0,Fatal,fatal,True
87746,ERA13CA362,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/87746/pdf,8/12/2013,Fredericksburg,Virginia,United States,38.27111,-77.446945,0,0,Non-Fatal,non-fatal,False
87834,ERA13CA371,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/87834/pdf,8/22/2013,Manassas,Virginia,United States,38.80722,-77.508888,0,0,Non-Fatal,non-fatal,False
87916,ERA13FA385,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/87916/pdf,8/29/2013,Danville,Virginia,United States,36.565277,-79.341667,1,0,Fatal,fatal,True
