MKey,NTSBNumber,Report,EventDate,City,StateOrRegion,Country,Latitude,Longitude,FatalInjuries,SeriousInjuries,InjuryLevel,InjuryCategory,IsFatal
82716,WPR12CA079,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/82716/pdf,1/22/2012,Richland,Washington,United States,46.303333,-119.302497,0,0,Non-Fatal,non-fatal,False
82794,WPR12LA087,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/82794/pdf,1/27/2012,Chehalis,Washington,United States,46.676944,-122.98278,0,0,Non-Fatal,non-fatal,False
82835,WPR12CA095,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/82835/pdf,2/4/2012,Forks,Washington,United States,47.937778,-124.392776,0,0,Non-Fatal,non-fatal,False
82855,WPR12LA099,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/82855/pdf,2/9/2012,Cusick,Washington,United States,48.411388,-117.330001,0,0,Non-Fatal,non-fatal,False
82869,WPR12CA102,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/82869/pdf,2/11/2012,Concrete,Washington,United States,48.758888,-121.83361,0,0,Non-Fatal,non-fatal,False
82897,WPR12FA105,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/82897/pdf,2/15/2012,North Bend,Washington,United States,47.497501,-121.748886,3,0,Fatal,fatal,True
82969,WPR12CA117,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/82969/pdf,3/7/2012,Randle,Washington,United States,46.570835,-121.974441,0,0,Non-Fatal,non-fatal,False
83082,WPR12CA127,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83082/pdf,3/8/2012,Kelso,Washington,United States,46.118057,-122.881668,0,0,Non-Fatal,non-fatal,False
83227,WPR12LA146,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83227/pdf,3/24/2012,Bow,Washington,United States,48.546943,-122.409164,0,0,Non-Fatal,non-fatal,False
83321,WPR12CA159,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83321/pdf,4/7/2012,Westport,Washington,United States,46.896945,-124.100555,0,0,Non-Fatal,non-fatal,False
83322,WPR12LA160,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83322/pdf,4/7/2012,Kent,Washington,United States,47.337223,-122.103614,0,1,Non-Fatal,non-fatal,False
83425,WPR12CA172,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83425/pdf,4/17/2012,Palouse,Washington,United States,46.909999,-117.075279,0,0,Non-Fatal,non-fatal,False
83429,WPR12LA174,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83429/pdf,4/10/2012,Sequim,Washington,United States,48.124721,-123.20417,0,0,Non-Fatal,non-fatal,False
83636,WPR12CA204,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83636/pdf,5/7/2012,Spokane,Washington,United States,47.618888,-117.535278,0,0,Non-Fatal,non-fatal,False
83650,WPR12LA207,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83650/pdf,5/11/2012,Roche Harbor,Washington,United States,48.61222,-123.138336,0,0,Non-Fatal,non-fatal,False
83755,WPR12CA226,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83755/pdf,5/26/2012,Vashon Island,Washington,United States,47.458332,-122.471107,0,0,Non-Fatal,non-fatal,False
83758,WPR12CA229,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83758/pdf,5/24/2012,Royal City,Washington,United States,46.889999,-119.600555,0,0,Non-Fatal,non-fatal,False
