MKey,NTSBNumber,Report,EventDate,City,StateOrRegion,Country,Latitude,Longitude,FatalInjuries,SeriousInjuries,InjuryLevel,InjuryCategory,IsFatal
82909,WPR12GA106,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/82909/pdf,2/15/2012,Moran Junction,Wyoming,United States,43.726112,-110.199722,1,2,Fatal,fatal,True
82927,WPR12LA110,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/82927/pdf,2/18/2012,Rawlins,Wyoming,United States,41.821666,-107.213607,0,0,Non-Fatal,non-fatal,False
83324,WPR12LA161,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83324/pdf,4/7/2012,Casper,Wyoming,United States,43.033611,-106.583053,0,0,Non-Fatal,non-fatal,False
83381,WPR12FA164,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83381/pdf,4/12/2012,Green River,Wyoming,United States,41.336112,-109.821388,1,0,Fatal,fatal,True
83830,WPR12CA242,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83830/pdf,6/3/2012,Riverton,Wyoming,United States,43.123889,-108.323333,0,0,Non-Fatal,non-fatal,False
83913,WPR12LA256,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83913/pdf,6/11/2012,Riverton,Wyoming,United States,43.049999,-108.449996,0,0,Non-Fatal,non-fatal,False
84263,WPR12LA301,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/84263/pdf,7/10/2012,Cheyenne,Wyoming,United States,41.171943,-105.036666,0,1,Non-Fatal,non-fatal,False
84361,WPR12LA309,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/84361/pdf,6/22/2012,Rock Springs,Wyoming,United States,41.596942,-109.065002,0,0,Non-Fatal,non-fatal,False
84413,WPR12CA319,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/84413/pdf,7/22/2012,Jackson Hole,Wyoming,United States,43.607223,-110.737777,0,0,Non-Fatal,non-fatal,False
84562,WPR12LA341,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/84562/pdf,7/31/2012,Cody,Wyoming,United States,44.417221,-109.138053,0,0,Non-Fatal,non-fatal,False
